squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Augsburg,28,26.2,38.6,34,374,"3,060",34.0,45,29,74,42,3,5,68,2,43.1,39.1,29.7,68.8,411,815,1.32,0.85,2.18,1.24,2.09,1.27,0.87,2.14,1.15,2.02,34,34,"3,060",63,1.85,155,94,59.4,9,9,16,7,20.6,1,0,1,0,100.0,0,3,3,56.7,0.36,-3.3,-0.10,197,622,31.7,947,153,45.1,35.1,303,64.4,49.6,550,23,4.2,45,1.32,13.9,358,129,36.0,10.53,3.79,0.12,0.33,19.0,24,0.11,+1.9,+2.9,8439,12287,68.7,157794,67041,3561,4445,80.1,3403,4308,79.0,1149,2545,45.1,22.9,-0.7,256,542,169,53,10461,1745,441,18,118,479,772,133,59,60,0,81,339,599,17.62,391,71,42,34,49,12,68,2.00,43,4,7,4,8,2,534,314,271,215,48,220,563,39.1,343,362,123,239,434,968,778,8,16178,2334,6414,6784,3190,508,16173,473,233,49.3,240,50.7,8252,43431,20950,281,104,512,304,8347,808,2,378,384,81,4,1,3,1765,545,612,47.1,2019,2020
Bayern Munich,29,26.7,65.1,34,374,"3,060",34.0,97,75,172,91,6,6,54,3,89.5,84.8,73.1,157.9,930,2300,2.85,2.21,5.06,2.68,4.88,2.63,2.15,4.78,2.49,4.64,34,34,"3,060",32,0.94,113,81,74.3,26,4,4,15,44.1,4,3,1,0,25.0,0,6,1,35.8,0.29,+4.8,+0.14,141,283,49.8,1309,208,19.4,26.4,190,15.3,27.4,314,10,3.2,124,3.65,23.7,609,243,39.9,17.91,7.15,0.15,0.37,16.5,13,0.14,+7.5,+6.2,20587,24273,84.8,362049,120150,9119,10103,90.3,8654,9667,89.5,2153,3150,68.3,80.1,+1.9,481,1717,498,120,22488,1707,444,69,180,850,767,240,91,100,0,78,347,1108,32.59,862,72,70,56,34,14,176,5.18,140,7,11,7,9,2,500,293,180,222,98,211,503,41.9,292,290,79,211,342,842,382,9,27878,1923,7313,13410,7376,1215,27872,741,480,64.8,261,35.2,17382,92867,49916,624,266,515,309,20486,2285,2,322,355,78,6,4,1,2048,478,403,54.3,2019,2020
Dortmund,27,25.8,60.4,34,374,"3,060",34.0,84,74,158,82,2,2,49,1,61.0,59.5,50.6,110.1,792,1736,2.47,2.18,4.65,2.41,4.59,1.80,1.49,3.28,1.75,3.24,34,34,"3,060",41,1.21,102,64,62.7,21,6,7,15,44.1,3,3,0,0,0.0,0,7,3,37.9,0.36,-0.1,0.00,92,294,31.3,922,196,24.3,30.0,226,31.0,33.7,344,12,3.5,49,1.44,18.2,442,188,42.5,13.00,5.53,0.19,0.44,16.7,14,0.14,+23.0,+22.5,20601,24071,85.6,342695,106977,9954,10940,91.0,8099,8993,90.1,1812,2720,66.6,46.4,+23.4,358,1269,308,41,22420,1595,410,63,188,510,694,190,64,77,2,56,353,794,23.35,598,59,57,43,29,8,155,4.56,129,5,13,6,2,0,529,329,249,214,66,226,509,44.4,283,353,88,265,375,904,463,10,27633,1949,7849,13650,6343,852,27631,750,468,62.4,282,37.6,16995,85828,43712,608,199,494,351,20513,1729,1,305,327,56,1,3,3,1914,361,358,50.2,2019,2020
Eint Frankfurt,27,27.0,50.9,34,374,"3,060",34.0,57,45,102,55,2,2,71,4,59.5,58.0,44.8,102.8,677,1389,1.68,1.32,3.00,1.62,2.94,1.75,1.32,3.07,1.71,3.02,34,34,"3,060",60,1.76,174,116,67.2,13,6,15,5,14.7,3,3,0,0,0.0,1,5,2,51.9,0.28,-6.1,-0.18,253,571,44.3,1149,141,39.6,33.2,231,50.2,41.2,418,20,4.8,48,1.41,13.5,500,170,34.0,14.71,5.00,0.11,0.32,16.7,16,0.12,-2.5,-3.0,12302,16602,74.1,230242,95308,5138,6124,83.9,5233,6456,81.1,1567,2924,53.6,45.6,+0.2,374,1052,283,128,14737,1808,457,16,126,892,813,213,64,120,1,57,375,878,25.82,611,95,63,60,39,10,100,2.94,61,16,6,13,2,2,596,377,278,246,72,232,617,37.6,385,403,97,306,376,972,520,5,20419,1985,6428,9309,4903,762,20417,520,330,63.5,190,36.5,10145,57981,30952,441,147,523,301,12165,1380,2,425,368,57,1,3,2,2047,699,665,51.2,2019,2020
Freiburg,26,26.4,48.1,34,374,"3,060",34.0,46,27,73,41,5,6,43,2,46.7,42.0,33.0,75.0,537,1128,1.35,0.79,2.15,1.21,2.00,1.37,0.97,2.34,1.24,2.21,34,34,"3,060",47,1.38,191,144,77.0,13,9,12,7,20.6,4,3,0,1,0.0,0,6,0,53.2,0.26,+6.2,+0.18,218,618,35.3,1083,169,35.0,35.9,365,65.5,52.2,554,18,3.2,23,0.68,12.6,442,138,31.2,13.00,4.06,0.09,0.30,17.7,27,0.10,-0.7,-1.0,12085,15762,76.7,233308,88480,4600,5443,84.5,5555,6461,86.0,1586,2893,54.8,31.3,-6.0,323,825,226,95,13890,1816,454,31,152,649,766,151,96,35,1,56,349,784,23.06,517,89,50,56,67,5,75,2.21,38,9,5,8,15,0,431,252,226,162,43,175,497,35.2,322,401,157,244,354,785,810,18,19615,2565,7346,8247,4202,658,19609,452,249,55.1,203,44.9,10684,59004,30501,412,120,521,259,11966,1116,1,329,437,56,5,4,0,1629,636,673,48.6,2019,2020
Hertha BSC,32,26.2,44.7,34,374,"3,060",34.0,45,35,80,42,3,3,77,4,43.1,40.7,32.7,73.4,546,1073,1.32,1.03,2.35,1.24,2.26,1.27,0.96,2.23,1.20,2.16,34,34,"3,058",59,1.74,173,116,69.9,11,8,15,9,26.5,7,7,0,0,0.0,3,8,2,50.5,0.26,-6.5,-0.19,306,671,45.6,934,139,50.4,32.7,273,73.3,50.8,548,36,6.6,29,0.85,12.9,357,119,33.3,10.50,3.50,0.12,0.35,17.7,12,0.12,+1.9,+1.3,11361,14961,75.9,224357,85887,4388,5188,84.6,4939,5960,82.9,1735,2940,59.0,29.0,+2.3,270,768,185,69,13249,1655,423,13,184,527,742,125,37,72,2,57,302,636,18.71,446,63,46,39,34,8,83,2.44,52,8,11,8,4,0,555,340,282,221,52,208,521,39.9,313,434,130,304,410,965,794,12,18883,2245,6610,8983,3497,524,18880,526,351,66.7,175,33.3,9692,57323,29175,422,123,519,348,11260,1058,2,465,350,57,3,7,2,1725,611,530,53.5,2019,2020
Hoffenheim,31,26.0,51.6,34,374,"3,060",34.0,52,36,88,49,3,4,66,2,56.1,53.0,40.2,93.2,598,1261,1.53,1.06,2.59,1.44,2.50,1.65,1.18,2.83,1.56,2.74,34,34,"3,060",53,1.56,167,114,71.9,15,7,12,8,23.5,8,6,2,0,25.0,0,4,2,54.7,0.28,+3.7,+0.11,150,437,34.3,1151,200,28.6,29.9,293,36.9,34.8,565,22,3.9,38,1.12,13.9,447,154,34.5,13.15,4.53,0.11,0.32,17.1,24,0.12,-4.1,-4.0,14392,17932,80.3,255561,95532,6337,7147,88.7,6193,7124,86.9,1471,2658,55.3,34.2,-4.2,345,925,256,75,16146,1725,472,40,89,579,700,174,58,98,3,61,339,797,23.44,538,83,56,55,55,10,91,2.68,60,6,7,12,4,2,529,309,283,196,50,239,578,41.3,339,384,121,263,349,878,719,9,21896,2499,8107,9908,4074,701,21892,512,299,58.4,213,41.6,11882,62387,32328,400,148,478,324,14282,1250,1,383,416,61,3,8,2,1666,564,541,51.0,2019,2020
Köln,29,25.6,46.7,34,374,"3,060",34.0,50,38,88,48,2,4,79,4,48.9,46.3,35.6,81.9,494,1158,1.47,1.12,2.59,1.41,2.53,1.44,1.05,2.49,1.36,2.41,34,34,"3,060",69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3,1,11,2,54.8,0.32,-12.2,-0.36,270,552,48.9,901,103,46.5,37.9,297,44.8,38.4,479,20,4.2,23,0.68,11.8,413,147,35.6,12.15,4.32,0.12,0.33,16.8,20,0.12,+1.1,+1.7,11195,15108,74.1,219640,90475,4315,5172,83.4,4871,5973,81.6,1721,3025,56.9,33.3,+2.4,309,806,249,96,13248,1785,475,33,106,708,735,175,77,79,2,75,314,724,21.29,500,73,44,47,45,15,83,2.44,54,7,7,9,6,0,610,414,293,258,59,249,622,40.0,373,397,97,300,435,1045,681,5,19057,2172,6628,8619,4007,625,19053,450,272,60.4,179,39.8,9961,52875,25869,342,92,570,299,11110,1145,1,487,436,75,3,6,2,1948,715,668,51.7,2019,2020
Leverkusen,24,26.1,63.2,34,374,"3,060",34.0,57,48,105,55,2,2,61,6,59.1,57.5,48.6,106.1,761,1471,1.68,1.41,3.09,1.62,3.03,1.74,1.43,3.17,1.69,3.12,34,34,"3,060",44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0,1,4,0,48.1,0.33,+4.1,+0.12,180,498,36.1,1365,204,30.4,32.3,232,35.8,35.9,365,14,3.8,55,1.62,16.7,492,182,37.0,14.47,5.35,0.11,0.30,16.7,6,0.12,-2.1,-2.5,19042,22954,83.0,331206,109589,8525,9522,89.5,7998,8988,89.0,1891,3030,62.4,44.9,-0.6,394,1106,253,55,21080,1782,475,40,124,713,782,215,127,68,2,92,368,853,25.09,614,91,59,53,25,11,108,3.18,80,8,9,4,5,2,557,353,239,244,74,263,600,43.8,337,365,71,294,333,890,496,11,26856,2245,7685,14063,5334,845,26854,710,450,63.4,260,36.6,15221,81517,40657,575,217,600,360,18938,1463,3,394,369,92,2,2,0,2035,518,490,51.4,2019,2020
M'Gladbach,25,26.3,52.4,34,374,"3,060",34.0,64,53,117,60,4,6,77,3,72.0,67.2,53.6,120.8,650,1305,1.88,1.56,3.44,1.76,3.32,2.12,1.58,3.69,1.98,3.55,34,34,"3,060",40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0,1,3,0,47.5,0.29,+7.5,+0.22,180,418,43.1,1263,169,25.7,29.8,282,33.3,34.6,501,13,2.6,49,1.44,16.9,475,187,39.4,13.97,5.50,0.13,0.32,17.0,26,0.15,-8.0,-7.2,14321,17974,79.7,253262,94657,6206,7130,87.0,6115,7119,85.9,1530,2580,59.3,44.7,-0.6,353,940,277,55,16127,1756,488,52,107,570,742,172,90,48,2,91,305,827,24.32,589,66,56,47,56,13,114,3.35,82,8,10,5,8,1,552,322,254,215,83,228,586,38.9,358,398,106,292,381,933,596,11,21776,2267,7659,9822,4533,785,21770,638,387,60.7,251,39.3,13011,67728,35910,429,183,491,321,14209,1292,3,424,446,91,5,2,0,1880,546,554,49.6,2019,2020
