squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Brest,29,26.6,44.9,38,418,"3,420",38.0,43,28,71,36,7,8,63,2,43.3,37.1,29.6,66.7,592,1311,1.13,0.74,1.87,0.95,1.68,1.14,0.78,1.92,0.98,1.76,38,38,"3,420",54,1.42,179,125,73.7,11,11,16,9,23.7,9,7,2,0,22.2,1,11,2,55.1,0.26,+3.1,+0.08,206,490,42.0,824,166,38.7,45.7,300,57.0,43.3,531,32,6.0,25,0.66,3.5,417,132,31.7,10.97,3.47,0.09,0.27,17.4,13,0.09,-0.3,-1.1,12486,16452,75.9,242407,93329,4874,5833,83.6,5395,6456,83.6,1807,3246,55.7,30.9,-1.6,314,1027,243,94,14545,1848,525,30,162,755,754,178,82,81,2,59,339,736,19.37,495,98,33,50,41,19,73,1.92,39,10,4,8,9,3,705,417,348,289,68,356,740,48.1,384,435,115,320,475,1180,686,13,20724,2299,6960,9493,4555,668,20716,655,270,41.2,301,46.0,13923,82689,37401,490,124,566,322,12371,1294,0,499,462,59,7,9,2,2115,633,569,52.7,2022,2023
Clermont Foot,28,27.2,48.3,38,418,"3,420",38.0,44,26,70,37,7,10,72,5,47.5,39.6,27.7,67.4,532,1304,1.16,0.68,1.84,0.97,1.66,1.25,0.73,1.98,1.04,1.77,38,38,"3,420",49,1.29,164,111,75.0,17,8,13,10,26.3,12,8,4,0,33.3,0,5,0,56.5,0.29,+7.5,+0.20,238,618,38.5,1196,177,41.4,33.6,308,39.9,35.9,478,35,7.3,30,0.79,21.3,393,139,35.4,10.34,3.66,0.09,0.27,18.3,16,0.10,-3.5,-2.6,14212,17961,79.1,256952,96617,6081,7055,86.2,6018,7037,85.5,1613,2887,55.9,28.5,-1.7,267,1004,239,62,16060,1849,642,31,105,564,658,155,73,48,4,52,373,668,17.58,497,51,32,39,39,10,72,1.89,45,4,5,11,6,1,685,398,350,250,85,351,779,45.1,428,424,126,298,440,1125,571,17,22057,2500,7753,10251,4323,656,22047,753,350,46.5,309,41.0,15772,89656,41497,508,111,566,338,14090,1294,2,426,592,52,7,12,0,2051,410,427,49.0,2022,2023
Lens,29,26.4,55.6,38,418,"3,420",38.0,66,49,115,60,6,9,63,3,66.7,59.8,47.4,107.2,738,1829,1.74,1.29,3.03,1.58,2.87,1.76,1.25,3.00,1.57,2.82,38,38,"3,420",29,0.76,129,101,79.8,25,9,4,15,39.5,3,3,0,0,0.0,0,6,1,34.0,0.24,+6.0,+0.16,183,449,40.8,1059,145,37.1,36.8,215,26.0,27.8,404,35,8.7,41,1.08,8.2,518,177,34.2,13.63,4.66,0.12,0.34,16.4,6,0.12,-0.7,+0.2,17809,21203,84.0,307973,105609,7942,8840,89.8,7624,8652,88.1,1618,2642,61.2,45.6,+1.6,395,1547,354,105,19476,1665,556,53,111,791,623,204,80,87,1,62,311,921,24.24,681,80,50,49,40,21,116,3.05,85,8,9,6,5,3,540,323,225,238,77,262,570,46.0,308,401,112,289,339,879,559,7,24935,2026,6456,12750,5964,841,24926,666,326,48.9,255,38.3,19150,112844,52786,732,160,526,302,17645,1821,0,492,481,62,7,3,1,1975,406,369,52.4,2022,2023
Lille,26,26.0,60.5,38,418,"3,420",38.0,65,40,105,54,11,12,82,1,68.7,60.0,46.4,106.5,798,1982,1.71,1.05,2.76,1.42,2.47,1.81,1.22,3.03,1.58,2.80,38,38,"3,420",44,1.16,122,80,67.2,19,10,9,10,26.3,5,4,1,0,20.0,2,3,3,39.2,0.28,-1.8,-0.05,82,316,25.9,963,148,27.5,29.4,198,25.8,26.8,382,27,7.1,34,0.89,13.5,545,201,36.9,14.34,5.29,0.10,0.27,16.8,16,0.12,-3.7,-6.0,19266,22826,84.4,325045,109059,8924,9956,89.6,8012,8981,89.2,1622,2635,61.6,52.2,-6.4,421,1602,398,61,20992,1770,555,56,124,624,718,217,81,76,1,64,398,996,26.21,735,79,50,70,51,11,111,2.92,76,6,2,15,12,0,635,370,266,265,104,314,658,47.7,344,390,74,316,301,936,543,13,26767,2074,7054,13386,6573,1010,26755,826,400,48.4,330,40.0,20538,112069,52803,705,206,537,398,19056,1959,0,497,480,64,10,5,3,2138,440,463,48.7,2022,2023
Lorient,30,25.2,46.6,38,418,"3,420",38.0,49,32,81,45,4,6,48,4,44.5,39.8,29.4,69.2,753,1329,1.29,0.84,2.13,1.18,2.03,1.17,0.77,1.94,1.05,1.82,38,38,"3,420",53,1.39,182,130,72.0,15,10,13,8,21.1,2,2,0,0,0.0,2,6,1,52.4,0.28,+0.4,+0.01,142,404,35.1,852,186,32.9,29.5,349,35.5,30.5,725,33,4.6,16,0.42,10.6,397,149,37.5,10.45,3.92,0.11,0.30,17.9,16,0.10,+4.5,+5.2,14837,18087,82.0,248618,91944,6810,7694,88.5,6246,7147,87.4,1173,2192,53.5,26.5,+2.6,295,994,240,38,16255,1783,540,48,55,434,658,145,60,52,2,49,334,705,18.55,505,43,66,38,38,15,86,2.26,52,6,15,5,6,2,736,420,409,244,83,315,690,45.7,375,484,141,343,369,1105,849,17,22605,2854,8346,10039,4473,695,22599,916,406,44.3,388,42.4,16379,97993,47864,592,175,596,332,14727,1322,3,397,501,49,5,2,1,2019,407,479,45.9,2022,2023
Lyon,29,25.5,58.1,38,418,"3,420",38.0,63,45,108,57,6,8,61,3,61.1,54.8,45.1,99.9,709,1883,1.66,1.18,2.84,1.50,2.68,1.61,1.19,2.80,1.44,2.63,38,38,"3,417",47,1.24,155,111,76.8,18,8,12,8,21.1,11,11,0,0,0.0,2,5,3,50.2,0.26,+6.2,+0.16,126,366,34.4,1010,164,29.8,28.7,236,27.5,30.2,436,25,5.7,35,0.92,17.2,511,199,38.9,13.45,5.24,0.11,0.29,16.7,18,0.11,+1.9,+2.2,18956,22698,83.5,326617,110346,8477,9572,88.6,8134,9170,88.7,1688,2738,61.7,54.5,-0.1,393,1575,381,76,20857,1784,521,65,101,649,758,184,71,68,0,57,395,902,23.74,668,67,61,52,39,15,109,2.87,85,6,3,8,6,1,723,423,306,282,135,367,771,47.6,404,433,107,326,481,1204,542,12,27048,2207,7251,13396,6634,1041,27040,895,398,44.5,401,44.8,20488,110348,50615,719,233,618,371,18817,1868,1,500,453,57,5,11,3,2144,452,438,50.8,2022,2023
Marseille,30,27.3,56.7,38,418,"3,420",38.0,61,38,99,55,6,7,63,4,65.3,60.0,47.0,107.0,759,1919,1.61,1.00,2.61,1.45,2.45,1.72,1.24,2.95,1.58,2.82,38,38,"3,420",40,1.05,142,105,75.4,22,7,9,10,26.3,5,5,0,0,0.0,0,7,3,37.7,0.24,+0.7,+0.02,123,371,33.2,1071,163,25.1,27.4,248,41.1,35.2,443,25,5.6,44,1.16,17.9,546,173,31.7,14.37,4.55,0.10,0.32,16.7,16,0.11,-4.3,-5.0,16817,20689,81.3,300757,97471,7113,8165,87.1,7385,8560,86.3,1744,2795,62.4,47.7,-9.0,397,1555,443,98,18914,1707,448,72,149,751,723,209,107,50,0,68,359,954,25.11,693,71,61,71,38,20,98,2.58,55,8,9,16,6,4,685,404,271,304,110,301,591,50.9,290,366,101,265,420,1105,570,11,24839,2007,6525,11697,6878,1000,24832,742,356,48.0,320,43.1,18366,107143,52090,639,172,598,360,16633,1895,1,533,419,68,3,5,3,2291,491,484,50.4,2022,2023
Monaco,27,24.7,48.2,38,418,"3,420",38.0,69,47,116,64,5,8,64,5,62.1,55.7,42.2,97.9,719,1820,1.82,1.24,3.05,1.68,2.92,1.63,1.11,2.74,1.47,2.58,38,38,"3,420",58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0,1,4,3,49.5,0.24,-5.5,-0.14,189,445,42.5,869,203,32.5,32.8,272,59.9,44.8,454,36,7.9,33,0.87,12.7,470,199,42.3,12.37,5.24,0.14,0.32,17.0,10,0.12,+6.9,+8.3,14414,18378,78.4,263795,99640,5987,7079,84.6,6203,7320,84.7,1718,2930,58.6,41.9,+4.8,358,1373,374,59,16574,1720,457,46,137,661,730,166,80,72,1,84,356,834,21.95,620,69,47,46,35,17,117,3.08,78,9,7,11,9,3,696,400,284,310,102,323,701,46.1,378,459,120,339,426,1122,549,14,22398,2069,5963,10799,5891,918,22390,678,318,46.9,283,41.7,15973,91223,44561,590,183,550,345,14273,1802,3,488,411,84,8,5,3,2203,515,457,53.0,2022,2023
Montpellier,31,26.0,45.8,38,418,"3,420",38.0,64,41,105,57,7,7,68,10,52.2,46.7,34.3,80.9,556,1250,1.68,1.08,2.76,1.50,2.58,1.37,0.90,2.27,1.23,2.13,38,38,"3,420",62,1.63,202,138,72.3,15,5,18,11,28.9,11,6,4,1,40.0,0,6,2,64.7,0.28,+4.7,+0.12,201,583,34.5,933,172,42.8,49.4,304,60.5,44.9,572,34,5.9,27,0.71,8.3,435,165,37.9,11.45,4.34,0.13,0.35,18.3,22,0.11,+11.8,+10.3,12420,16221,76.6,223908,86793,5391,6416,84.0,4978,5904,84.3,1511,2866,52.7,29.5,+6.7,310,906,215,60,14249,1901,555,38,123,673,749,195,85,87,2,71,319,748,19.68,515,74,45,49,52,13,106,2.79,77,5,4,11,8,1,684,413,362,249,73,361,745,48.5,384,448,121,327,404,1088,686,9,20469,2351,6847,9513,4378,670,20462,780,338,43.3,321,41.2,13886,80186,37309,494,150,594,362,12321,1243,1,488,523,71,6,11,2,2095,480,553,46.5,2022,2023
Nantes,29,26.7,45.9,38,418,"3,420",38.0,35,27,62,32,3,5,65,4,42.8,39.0,31.8,70.8,705,1565,0.92,0.71,1.63,0.84,1.55,1.13,0.84,1.96,1.03,1.86,38,38,"3,419",55,1.45,185,134,75.1,7,15,16,11,28.9,9,9,0,0,0.0,1,6,4,56.3,0.26,+5.3,+0.14,194,525,37.0,962,211,36.9,33.2,253,67.2,49.2,504,43,8.5,39,1.03,7.0,443,151,34.1,11.66,3.97,0.07,0.21,18.1,16,0.09,-7.8,-7.0,13283,17169,77.4,249004,92349,5334,6308,84.6,5788,6906,83.8,1710,3062,55.8,29.8,-4.8,330,1217,248,103,15386,1729,462,17,121,820,725,196,77,89,0,54,313,771,20.29,558,70,52,49,33,9,63,1.66,45,6,3,4,4,1,709,431,367,249,93,367,730,50.3,363,427,107,320,431,1140,731,8,21497,2310,6504,10417,4849,726,21492,788,378,48.0,333,42.3,14771,86725,40556,483,154,553,350,13142,1547,2,481,414,54,3,9,4,2075,592,598,49.7,2022,2023
