TEAM,MP,W,D,L,PTS
PSG,28,18,9,1,63
Brest,29,15,8,6,53
Monaco,28,15,7,6,52
Lille,28,13,10,5,49
Nice,28,12,8,8,44
Lens,29,12,7,10,43
Lyon,29,12,5,12,41
Reims,29,11,7,11,40
Marseille,28,10,9,9,39
Rennes,29,10,9,10,39
Toulouse,29,9,9,11,36
Strasbourg,29,9,9,11,36
Montpellier,29,8,10,11,33
Nantes,29,9,4,16,31
Le Havre,29,6,10,13,28
Lorient,28,6,8,14,26
Metz,29,7,5,17,26
Clermont,29,4,10,15,22
