TEAM,MP,W,D,L,PTS
Bayer Leverkusen,29,25,4,0,79
Bayern Munich,29,20,3,6,63
Stuttgart,29,20,3,6,63
RB Leipzig,29,17,5,7,56
Dortmund,29,16,8,5,56
Eintracht Frankfurt,29,10,12,7,42
Augsburg,29,10,9,10,39
Freiburg,29,11,6,12,39
Hoffenheim,29,10,6,13,36
Heidenheim,29,8,10,11,34
B. Monchengladbach,29,7,10,12,31
Werder Bremen,29,8,7,14,31
Union Berlin,29,8,5,16,29
Wolfsburg,29,7,7,15,28
Bochum,29,5,12,12,27
Mainz,29,5,11,13,26
FC Koln,29,4,10,15,22
Darmstadt,29,2,8,19,14
