TEAM,MP,W,D,L,PTS
Manchester City,32,22,7,3,73
Arsenal,32,22,5,5,71
Liverpool,32,21,8,3,71
Aston Villa,33,19,6,8,63
Tottenham,32,18,6,8,60
Newcastle,32,15,5,12,50
Manchester Utd,32,15,5,12,50
West Ham,33,13,9,11,48
Chelsea,31,13,8,10,47
Brighton,32,11,11,10,44
Wolves,32,12,7,13,43
Fulham,33,12,6,15,42
Bournemouth,32,11,9,12,42
Crystal Palace,32,8,9,15,33
Brentford,33,8,8,17,32
Everton,32,9,8,15,27
Nottingham,33,7,9,17,26
Luton,33,6,7,20,25
Burnley,33,4,8,21,20
Sheffield Utd,32,3,7,22,16
