TEAM,MP,W,D,L,PTS
Inter,32,26,5,1,83
AC Milan,32,21,6,5,69
Juventus,32,18,9,5,63
Bologna,32,16,11,5,59
AS Roma,31,16,7,8,55
Atalanta,31,15,6,10,51
Lazio,32,15,4,13,49
Napoli,32,13,10,9,49
Torino,32,11,12,9,45
Fiorentina,31,12,8,11,44
Monza,32,11,10,11,43
Genoa,32,9,12,11,39
Lecce,32,7,11,14,32
Cagliari,32,7,10,15,31
Udinese,31,4,16,11,28
Verona,32,6,10,16,28
Empoli,32,7,7,18,28
Frosinone,32,6,9,17,27
Sassuolo,32,6,8,18,26
Salernitana,32,2,9,21,15
