TEAM,MP,W,D,L,PTS
Real Madrid,31,24,6,1,78
Barcelona,31,21,7,3,70
Girona,31,20,5,6,65
Atl. Madrid,31,19,4,8,61
Ath Bilbao,31,16,9,6,57
Real Sociedad,31,13,11,7,50
Valencia,31,13,8,10,47
Betis,31,11,12,8,45
Villarreal,31,10,9,12,39
Getafe,31,9,12,10,39
Osasuna,31,11,6,14,39
Las Palmas,31,10,7,14,37
Sevilla,31,8,10,13,34
Alaves,31,8,8,15,32
Mallorca,31,6,13,12,31
Rayo Vallecano,31,6,13,12,31
Celta Vigo,31,6,10,15,28
Cadiz CF,31,4,13,14,25
Granada CF,31,3,8,20,17
Almeria,31,1,11,19,14
