squad,season_end_year,minutes_90s,country,squad_size,foreigners,squad_value_avg,squad_value,players_used,gd_per90,pens_made_per90,pens_att_per90,cards_yellow_per90,cards_red_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,own_goals_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net_per90,gk_passes_pct_launched,gk_pct_passes_launched,gk_goal_kick_length_avg,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_shots_on_target_against_per90,gk_pens_saved_per90,gk_pens_missed_per90,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,npxg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_xg_assist_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,npxg_per_shot,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance_per90,progressive_passes_per90,passes_progressive_distance_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,sca_per90,gca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,take_ons_won_pct,take_ons_tackled_pct,possession,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,carries_per90,carries_distance_per90,progressive_carries_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,challenge_tackles_pct,aerials_won_pct,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90
Aston Villa,2023,38.0,ENG,43,24,11850000.0,509550000.0,26,0.08000000000000007,0.07894736842105263,0.10526315789473684,2.1052631578947367,0.02631578947368421,0.0,10.973684210526315,13.105263157894736,1.5263157894736843,0.10526315789473684,1.2105263157894737,72.8,31.6,42.8,0.25,0.021052631578947368,36.6,37.0,38.3,12.3,2.0,3.973684210526316,0.02631578947368421,0.0,0.02631578947368421,0.23684210526315788,1.29,0.92,2.21,1.21,2.13,1.32,1.24,1.02,2.34,2.26,34.0,11.24,3.82,0.11,0.32,18.0,0.11,79.2,88.0,86.2,52.2,6423.263157894737,32.68421052631579,2304.7631578947367,0.8315789473684211,-0.09999999999999999,8.368421052631579,25.36842105263158,7.052631578947368,2.1052631578947367,409.05263157894734,47.21052631578947,15.763157894736842,1.4210526315789473,2.6578947368421053,14.763157894736842,18.0,4.2631578947368425,2.5526315789473686,0.5,0.10526315789473684,19.76,2.21,14.868421052631579,1.3157894736842106,1.263157894736842,1.0,1.0526315789473684,0.2631578947368421,1.4473684210526316,0.05263157894736842,0.15789473684210525,0.3157894736842105,0.15789473684210525,0.07894736842105263,42.9,41.0,49.3,565.8157894736842,73.23684210526316,208.21052631578948,238.8684210526316,123.84210526315789,19.63157894736842,565.6842105263158,17.92105263157895,323.5263157894737,1725.8684210526317,16.763157894736842,872.5263157894736,11.421052631578947,4.578947368421052,14.868421052631579,9.763157894736842,48.5,48.7,16.657894736842106,8.894736842105264,8.026315789473685,6.605263157894737,2.026315789473684,8.236842105263158,17.0,8.763157894736842,11.526315789473685,3.1052631578947367,8.421052631578947,8.526315789473685,25.18421052631579,18.789473684210527,0.3684210526315789,48.60526315789474,11.631578947368421,12.236842105263158
Bournemouth,2023,38.0,ENG,47,23,6110000.0,287200000.0,31,-0.9000000000000001,0.0,0.0,1.7894736842105263,0.0,0.0,10.289473684210526,9.605263157894736,1.0,0.07894736842105263,1.868421052631579,68.1,21.1,63.6,0.29,-0.11578947368421054,39.1,44.0,44.1,5.4,0.79,5.368421052631579,0.0,0.02631578947368421,0.0,0.42105263157894735,0.97,0.63,1.61,0.97,1.61,1.02,1.02,0.75,1.76,1.76,35.2,9.42,3.32,0.1,0.29,15.5,0.11,76.2,86.2,84.2,47.9,5439.578947368421,26.473684210526315,2175.5789473684213,0.6921052631578948,-0.11842105263157894,6.868421052631579,22.36842105263158,6.2368421052631575,1.9736842105263157,358.07894736842104,45.68421052631579,11.157894736842104,1.263157894736842,2.289473684210526,13.394736842105264,18.57894736842105,3.789473684210526,2.3157894736842106,0.6578947368421053,0.23684210526315788,16.21,1.68,11.710526315789474,1.1842105263157894,1.368421052631579,1.131578947368421,0.631578947368421,0.18421052631578946,1.1578947368421053,0.13157894736842105,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.02631578947368421,43.7,46.8,40.4,525.0,77.21052631578948,210.6315789473684,208.76315789473685,112.0,18.394736842105264,525.0,19.342105263157894,272.0,1455.842105263158,13.263157894736842,721.5526315789474,10.210526315789474,3.789473684210526,15.5,9.657894736842104,42.2,49.2,16.263157894736842,9.763157894736842,8.31578947368421,6.552631578947368,1.394736842105263,6.7368421052631575,15.947368421052632,9.210526315789474,13.131578947368421,4.473684210526316,8.657894736842104,9.289473684210526,25.55263157894737,27.026315789473685,0.2894736842105263,51.10526315789474,13.710526315789474,14.18421052631579
Brentford,2023,38.0,ENG,36,26,10310000.0,371200000.0,25,0.26,0.18421052631578946,0.21052631578947367,1.5,0.02631578947368421,0.02631578947368421,9.31578947368421,10.5,1.894736842105263,0.07894736842105263,1.2105263157894737,77.7,31.6,48.0,0.24,0.13157894736842105,39.3,50.9,51.0,8.7,1.42,5.184210526315789,0.0,0.0,0.0,0.23684210526315788,1.47,0.95,2.42,1.29,2.24,1.49,1.33,1.02,2.51,2.35,36.8,10.53,3.87,0.12,0.33,15.7,0.13,72.8,84.1,79.9,48.8,5525.289473684211,29.763157894736842,2289.6315789473683,0.8026315789473685,-0.07105263157894737,7.473684210526316,24.263157894736842,7.342105263157895,2.289473684210526,362.2631578947368,45.078947368421055,11.921052631578947,1.394736842105263,2.8157894736842106,17.394736842105264,19.42105263157895,4.2894736842105265,2.1842105263157894,0.8947368421052632,0.3157894736842105,18.47,2.58,12.5,2.6052631578947367,0.8421052631578947,1.1842105263157894,1.1578947368421053,0.18421052631578946,1.7105263157894737,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.2894736842105263,0.05263157894736842,44.2,41.5,43.8,519.7368421052631,69.26315789473684,191.8421052631579,205.31578947368422,127.23684210526316,21.763157894736842,519.5263157894736,15.710526315789474,273.89473684210526,1289.7105263157894,10.31578947368421,631.2368421052631,7.868421052631579,2.6842105263157894,13.68421052631579,8.81578947368421,42.2,51.8,15.447368421052632,8.868421052631579,7.105263157894737,6.0,2.3421052631578947,6.657894736842105,15.763157894736842,9.105263157894736,12.0,4.421052631578948,7.578947368421052,8.973684210526315,24.42105263157895,21.63157894736842,0.3684210526315789,51.55263157894737,17.5,16.263157894736842
Brighton,2023,38.0,ENG,42,28,12610000.0,529800000.0,29,0.40000000000000013,0.15789473684210525,0.15789473684210525,1.5263157894736843,0.0,0.0,11.236842105263158,10.710526315789474,1.8421052631578947,0.15789473684210525,1.394736842105263,64.1,31.6,42.7,0.27,-0.1131578947368421,33.7,21.4,23.2,7.6,0.84,3.4473684210526314,0.05263157894736842,0.0,0.0,0.15789473684210525,1.79,1.21,3.0,1.63,2.84,1.93,1.81,1.37,3.3,3.19,36.1,15.97,5.76,0.1,0.28,16.8,0.12,83.9,90.7,88.5,59.4,8414.105263157895,48.6578947368421,2801.9473684210525,1.1763157894736842,-0.1631578947368421,12.631578947368421,38.39473684210526,10.289473684210526,2.0526315789473686,555.5,44.973684210526315,11.710526315789474,2.1315789473684212,3.4210526315789473,18.263157894736842,18.236842105263158,6.131578947368421,2.6842105263157894,2.3157894736842106,0.05263157894736842,28.29,3.03,21.55263157894737,1.9210526315789473,2.1315789473684212,1.6578947368421053,0.7105263157894737,0.3157894736842105,2.1842105263157894,0.07894736842105263,0.34210526315789475,0.23684210526315788,0.15789473684210525,0.02631578947368421,47.5,38.4,60.2,703.3684210526316,65.02631578947368,206.42105263157896,321.39473684210526,180.8684210526316,29.0,703.2105263157895,19.105263157894736,429.7631578947368,2203.1052631578946,21.289473684210527,1156.9736842105262,14.394736842105264,6.578947368421052,14.68421052631579,8.526315789473685,47.4,53.4,16.210526315789473,8.947368421052632,7.105263157894737,6.368421052631579,2.736842105263158,7.0,14.763157894736842,7.7631578947368425,10.31578947368421,2.736842105263158,7.578947368421052,7.973684210526316,24.18421052631579,11.368421052631579,0.39473684210526316,52.973684210526315,11.68421052631579,10.18421052631579
Chelsea,2023,38.0,ENG,43,28,23140000.0,994950000.0,32,-0.27,0.07894736842105263,0.07894736842105263,2.1315789473684212,0.07894736842105263,0.05263157894736842,10.447368421052632,12.157894736842104,1.9473684210526316,0.07894736842105263,1.236842105263158,71.1,26.3,47.0,0.3,0.07894736842105263,32.8,18.2,31.9,5.2,1.66,4.184210526315789,0.0,0.0,0.02631578947368421,0.21052631578947367,0.97,0.71,1.68,0.89,1.61,1.3,1.24,1.02,2.32,2.26,31.4,12.66,3.97,0.07,0.23,16.8,0.1,83.8,90.6,88.4,58.5,8327.368421052632,45.71052631578947,2755.7368421052633,0.9289473684210525,-0.30526315789473685,9.894736842105264,37.526315789473685,9.736842105263158,1.7894736842105263,552.5,46.5,13.236842105263158,1.5263157894736843,3.3947368421052633,18.236842105263158,19.0,5.5,2.8421052631578947,1.8421052631578947,0.05263157894736842,22.61,1.79,17.55263157894737,1.736842105263158,1.105263157894737,1.105263157894737,0.8157894736842105,0.2894736842105263,1.5,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,45.3,42.0,58.7,714.8947368421053,67.47368421052632,222.6578947368421,317.2894736842105,180.26315789473685,25.210526315789473,714.8157894736842,22.05263157894737,435.2105263157895,2197.6052631578946,21.81578947368421,1147.2631578947369,16.36842105263158,5.684210526315789,14.947368421052632,10.026315789473685,50.8,52.1,19.473684210526315,11.710526315789474,9.552631578947368,7.026315789473684,2.8947368421052633,8.763157894736842,17.263157894736842,8.5,12.263157894736842,2.8421052631578947,9.421052631578947,8.973684210526315,28.44736842105263,17.394736842105264,0.5526315789473685,53.26315789473684,12.973684210526315,11.921052631578947
Crystal Palace,2023,38.0,ENG,39,19,8279999.999999999,323050000.0,26,-0.29000000000000004,0.02631578947368421,0.07894736842105263,2.1578947368421053,0.07894736842105263,0.05263157894736842,11.736842105263158,12.605263157894736,1.5263157894736843,0.07894736842105263,1.2894736842105263,71.9,23.7,44.7,0.26,-0.034210526315789476,34.3,33.7,37.6,5.4,1.05,4.2105263157894735,0.0,0.0,0.0,0.21052631578947367,1.0,0.76,1.76,0.97,1.74,1.03,0.97,0.76,1.8,1.73,31.4,11.13,3.5,0.09,0.28,17.6,0.09,77.4,87.0,85.6,47.6,6283.6578947368425,32.71052631578947,2326.0263157894738,0.6263157894736843,0.0,8.31578947368421,26.657894736842106,6.2894736842105265,1.3421052631578947,405.6842105263158,48.26315789473684,13.81578947368421,1.0789473684210527,3.1052631578947367,15.552631578947368,20.07894736842105,4.894736842105263,2.210526315789474,1.5789473684210527,0.13157894736842105,19.63,1.76,13.078947368421053,1.763157894736842,1.4736842105263157,1.2894736842105263,1.5526315789473684,0.47368421052631576,1.131578947368421,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,46.8,40.1,46.3,571.3947368421053,67.89473684210526,201.78947368421052,244.07894736842104,131.3421052631579,20.157894736842106,571.3157894736842,20.63157894736842,307.55263157894734,1586.8684210526317,14.631578947368421,789.8684210526316,10.342105263157896,5.421052631578948,16.92105263157895,12.026315789473685,52.8,46.2,18.157894736842106,11.078947368421053,9.31578947368421,6.473684210526316,2.3684210526315788,7.394736842105263,14.0,6.605263157894737,12.18421052631579,3.1315789473684212,9.052631578947368,9.447368421052632,27.605263157894736,21.236842105263158,0.18421052631578946,55.078947368421055,13.052631578947368,15.210526315789474
Everton,2023,38.0,ENG,40,20,10330000.0,413150000.0,28,-0.66,0.07894736842105263,0.07894736842105263,2.1315789473684212,0.05263157894736842,0.02631578947368421,10.421052631578947,10.052631578947368,1.6842105263157894,0.0,1.5,71.9,23.7,60.4,0.3,0.08947368421052632,33.7,57.7,52.4,3.9,1.37,4.868421052631579,0.02631578947368421,0.0,0.05263157894736842,0.10526315789473684,0.84,0.63,1.47,0.76,1.39,1.19,1.13,0.85,2.04,1.98,33.6,11.21,3.76,0.07,0.2,16.8,0.1,74.7,86.4,83.0,46.4,5633.0526315789475,27.68421052631579,2170.4736842105262,0.7078947368421052,-0.2210526315789474,8.105263157894736,25.36842105263158,5.894736842105263,1.763157894736842,368.0,45.6578947368421,11.421052631578947,1.0263157894736843,2.4473684210526314,18.526315789473685,18.605263157894736,4.578947368421052,3.6315789473684212,0.7368421052631579,0.0,19.34,1.55,13.026315789473685,2.210526315789474,0.9736842105263158,1.4210526315789473,1.1842105263157894,0.5263157894736842,1.0789473684210527,0.13157894736842105,0.13157894736842105,0.05263157894736842,0.10526315789473684,0.05263157894736842,45.6,44.2,42.8,532.4473684210526,66.5,189.97368421052633,221.5,127.10526315789474,19.526315789473685,532.3421052631579,17.605263157894736,275.7631578947368,1493.078947368421,13.157894736842104,733.1052631578947,10.289473684210526,3.6052631578947367,15.921052631578947,7.894736842105263,50.6,48.7,18.63157894736842,11.157894736842104,9.526315789473685,6.7631578947368425,2.3421052631578947,8.131578947368421,16.07894736842105,7.947368421052632,13.421052631578947,4.7368421052631575,8.68421052631579,10.263157894736842,28.894736842105264,23.0,0.4473684210526316,53.921052631578945,15.31578947368421,16.13157894736842
Fulham,2023,38.0,ENG,47,34,6280000.0,295250000.0,29,-0.019999999999999796,0.13157894736842105,0.23684210526315788,2.1052631578947367,0.02631578947368421,0.0,10.81578947368421,10.657894736842104,1.5789473684210527,0.05263157894736842,1.394736842105263,76.5,23.7,60.1,0.28,0.2394736842105263,32.0,28.4,35.0,7.3,1.26,5.157894736842105,0.02631578947368421,0.0,0.02631578947368421,0.21052631578947367,1.37,0.87,2.24,1.24,2.11,1.22,1.03,0.75,1.97,1.78,32.6,11.05,3.61,0.11,0.34,17.3,0.1,77.6,86.1,84.8,54.2,6727.078947368421,34.89473684210526,2350.0789473684213,0.6236842105263157,0.11842105263157894,8.052631578947368,27.473684210526315,7.473684210526316,2.5526315789473686,424.63157894736844,47.8421052631579,12.394736842105264,0.5263157894736842,4.131578947368421,20.236842105263158,20.92105263157895,4.7894736842105265,1.8421052631578947,1.8157894736842106,0.05263157894736842,19.76,2.37,13.894736842105264,2.0526315789473686,0.7631578947368421,1.4210526315789473,1.236842105263158,0.39473684210526316,1.4736842105263157,0.23684210526315788,0.13157894736842105,0.2894736842105263,0.18421052631578946,0.05263157894736842,45.4,39.9,48.8,583.2105263157895,67.44736842105263,196.3684210526316,250.55263157894737,142.52631578947367,19.94736842105263,582.9736842105264,15.763157894736842,322.36842105263156,1793.6315789473683,17.42105263157895,929.4473684210526,12.421052631578947,3.263157894736842,14.078947368421053,9.973684210526315,51.1,48.2,16.44736842105263,9.210526315789474,7.7631578947368425,6.026315789473684,2.6578947368421053,7.868421052631579,15.394736842105264,7.526315789473684,11.973684210526315,3.289473684210526,8.68421052631579,8.947368421052632,25.394736842105264,19.710526315789473,0.39473684210526316,52.078947368421055,13.447368421052632,14.473684210526315
Liverpool,2023,38.0,ENG,39,24,20820000.0,811850000.0,28,0.6300000000000001,0.05263157894736842,0.10526315789473684,1.5,0.02631578947368421,0.0,10.657894736842104,8.447368421052632,2.210526315789474,0.05263157894736842,1.236842105263158,71.3,36.8,54.1,0.33,0.2394736842105263,41.4,18.4,29.9,5.8,2.34,4.131578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,1.87,1.53,3.39,1.82,3.34,1.91,1.83,1.49,3.4,3.32,33.8,15.82,5.34,0.11,0.34,16.2,0.12,82.3,89.2,87.7,59.8,9287.605263157895,52.421052631578945,3170.157894736842,1.3763157894736842,0.034210526315789476,12.052631578947368,42.5,11.894736842105264,2.236842105263158,591.2105263157895,47.6578947368421,10.947368421052632,2.710526315789474,5.2105263157894735,21.026315789473685,22.63157894736842,6.184210526315789,1.4736842105263157,4.078947368421052,0.02631578947368421,27.53,3.39,20.473684210526315,2.236842105263158,1.4473684210526316,1.9736842105263157,0.868421052631579,0.5263157894736842,2.5526315789473686,0.23684210526315788,0.18421052631578946,0.21052631578947367,0.18421052631578946,0.02631578947368421,46.3,40.8,60.8,747.3421052631579,60.78947368421053,213.6578947368421,350.7631578947368,188.1315789473684,32.94736842105263,747.2368421052631,18.18421052631579,451.2105263157895,2169.9473684210525,18.92105263157895,1092.8157894736842,14.973684210526315,6.157894736842105,15.368421052631579,10.868421052631579,43.4,51.4,15.526315789473685,9.736842105263158,6.0,6.578947368421052,2.9473684210526314,7.394736842105263,17.05263157894737,9.657894736842104,9.210526315789474,1.9473684210526316,7.2631578947368425,8.763157894736842,24.289473684210527,14.947368421052632,0.5263157894736842,58.18421052631579,12.68421052631579,11.973684210526315
Manchester City,2023,38.0,ENG,34,21,33700000.0,1150000000.0,24,1.5499999999999998,0.23684210526315788,0.2631578947368421,1.1578947368421053,0.02631578947368421,0.0,9.131578947368421,10.105263157894736,1.3421052631578947,0.02631578947368421,0.868421052631579,67.4,34.2,30.3,0.3,-0.04473684210526316,44.6,18.9,30.4,6.4,1.05,2.4210526315789473,0.0,0.0,0.02631578947368421,0.10526315789473684,2.42,1.82,4.24,2.18,4.0,2.07,1.87,1.51,3.58,3.38,34.7,15.53,5.39,0.14,0.4,16.6,0.12,87.3,92.7,90.9,67.8,10433.0,54.55263157894737,3024.2105263157896,1.5157894736842106,0.3026315789473684,12.210526315789474,46.578947368421055,11.710526315789474,1.9736842105263157,659.1315789473684,40.63157894736842,11.578947368421053,2.473684210526316,4.657894736842105,19.526315789473685,16.157894736842106,6.2631578947368425,1.894736842105263,2.289473684210526,0.2894736842105263,28.92,4.42,21.736842105263158,2.1315789473684212,1.394736842105263,2.0,1.2894736842105263,0.3684210526315789,3.4210526315789473,0.18421052631578946,0.21052631578947367,0.23684210526315788,0.3157894736842105,0.05263157894736842,47.7,33.9,64.7,786.7105263157895,57.10526315789474,195.0,378.2105263157895,218.44736842105263,33.60526315789474,786.4473684210526,18.526315789473685,503.2105263157895,2739.4473684210525,26.0,1479.3684210526317,19.842105263157894,7.342105263157895,10.68421052631579,7.842105263157895,45.9,54.6,12.394736842105264,7.157894736842105,4.868421052631579,5.2105263157894735,2.3157894736842106,5.578947368421052,12.157894736842104,6.578947368421052,8.921052631578947,2.5,6.421052631578948,5.868421052631579,18.263157894736842,10.578947368421053,0.23684210526315788,49.10526315789474,11.526315789473685,9.578947368421053
Manchester Utd,2023,38.0,ENG,48,28,17670000.0,848000000.0,26,0.3400000000000001,0.07894736842105263,0.07894736842105263,2.0526315789473686,0.05263157894736842,0.0,11.157894736842104,7.815789473684211,2.0789473684210527,0.02631578947368421,1.131578947368421,71.1,44.7,41.3,0.27,-0.018421052631578946,31.4,37.0,31.7,2.9,0.84,3.736842105263158,0.02631578947368421,0.0,0.05263157894736842,0.15789473684210525,1.47,1.11,2.58,1.39,2.5,1.78,1.72,1.37,3.15,3.09,34.9,15.53,5.42,0.09,0.26,17.8,0.11,80.9,89.0,87.0,54.2,7279.605263157895,41.973684210526315,2553.315789473684,1.1736842105263159,-0.26842105263157895,12.578947368421053,33.36842105263158,10.473684210526315,1.5,495.44736842105266,42.60526315789474,8.552631578947368,2.763157894736842,4.342105263157895,13.605263157894736,18.81578947368421,5.157894736842105,1.868421052631579,1.236842105263158,0.10526315789473684,27.66,2.61,22.105263157894736,1.5263157894736843,1.2105263157894737,1.6578947368421053,0.9210526315789473,0.23684210526315788,2.0789473684210527,0.07894736842105263,0.21052631578947367,0.13157894736842105,0.10526315789473684,0.0,43.4,46.3,53.7,653.8947368421053,69.44736842105263,212.97368421052633,273.39473684210526,172.89473684210526,27.263157894736842,653.8157894736842,19.210526315789473,374.86842105263156,1851.342105263158,18.710526315789473,977.0,13.552631578947368,6.2894736842105265,13.078947368421053,7.7105263157894735,50.3,51.7,17.31578947368421,10.526315789473685,9.026315789473685,6.078947368421052,2.210526315789474,7.921052631578948,15.736842105263158,7.815789473684211,13.052631578947368,3.8421052631578947,9.210526315789474,9.263157894736842,26.57894736842105,20.289473684210527,0.2894736842105263,57.63157894736842,12.236842105263158,11.421052631578947
Newcastle,2023,38.0,ENG,38,21,14250000.0,541600000.0,27,0.8099999999999999,0.15789473684210525,0.15789473684210525,1.605263157894737,0.02631578947368421,0.0,10.68421052631579,10.5,1.868421052631579,0.05263157894736842,0.868421052631579,75.6,36.8,33.2,0.24,0.05789473684210527,33.3,32.2,48.5,7.9,1.95,3.3421052631578947,0.05263157894736842,0.02631578947368421,0.0,0.21052631578947367,1.68,1.11,2.79,1.53,2.63,1.89,1.77,1.37,3.26,3.14,32.6,14.87,4.84,0.1,0.32,15.6,0.12,78.1,87.3,84.5,54.9,6481.5,42.578947368421055,2391.9210526315787,1.1842105263157894,-0.2605263157894737,11.447368421052632,28.5,10.605263157894736,1.6842105263157894,421.57894736842104,45.94736842105263,11.763157894736842,2.3157894736842106,3.736842105263158,19.473684210526315,19.157894736842106,7.105263157894737,2.789473684210526,2.3684210526315788,0.39473684210526316,26.53,2.79,18.157894736842106,2.8947368421052633,1.631578947368421,2.026315789473684,1.5,0.3157894736842105,1.6842105263157894,0.15789473684210525,0.39473684210526316,0.2631578947368421,0.15789473684210525,0.13157894736842105,44.6,41.1,52.3,581.7368421052631,54.94736842105263,177.81578947368422,238.23684210526315,171.47368421052633,30.55263157894737,581.578947368421,20.605263157894736,316.3421052631579,1688.578947368421,18.263157894736842,867.578947368421,12.973684210526315,5.973684210526316,15.157894736842104,9.552631578947368,47.8,56.4,15.973684210526315,9.473684210526315,7.052631578947368,6.684210526315789,2.236842105263158,8.078947368421053,16.894736842105264,8.81578947368421,11.789473684210526,3.0526315789473686,8.736842105263158,8.763157894736842,24.736842105263158,17.894736842105264,0.2631578947368421,54.3421052631579,14.552631578947368,11.236842105263158
Nottingham,2023,38.0,ENG,50,29,7530000.0,376250000.0,33,-0.8400000000000001,0.07894736842105263,0.15789473684210525,2.210526315789474,0.0,0.0,11.710526315789474,10.263157894736842,1.763157894736842,0.0,1.7894736842105263,65.9,21.1,60.1,0.3,-0.20789473684210527,33.3,51.0,47.5,5.6,1.0,4.7894736842105265,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.23684210526315788,0.95,0.58,1.53,0.87,1.45,1.03,0.91,0.69,1.73,1.6,30.7,9.53,2.92,0.09,0.3,17.2,0.1,70.1,81.7,79.4,43.8,4666.184210526316,22.605263157894736,1912.0,0.5394736842105263,-0.1131578947368421,6.473684210526316,17.36842105263158,4.526315789473684,1.3157894736842106,310.55263157894734,45.73684210526316,11.736842105263158,0.8157894736842105,1.736842105263158,13.947368421052632,18.94736842105263,3.3684210526315788,1.7105263157894737,1.394736842105263,0.02631578947368421,15.61,1.42,10.947368421052632,1.5526315789473684,0.8157894736842105,1.0,0.9473684210526315,0.34210526315789475,0.8157894736842105,0.13157894736842105,0.10526315789473684,0.2894736842105263,0.07894736842105263,0.0,44.6,41.3,37.6,471.36842105263156,71.44736842105263,195.26315789473685,182.97368421052633,98.8157894736842,16.07894736842105,471.2105263157895,14.973684210526315,228.26315789473685,1221.342105263158,11.447368421052632,631.7894736842105,8.105263157894736,2.9210526315789473,14.131578947368421,7.2368421052631575,50.7,48.3,17.342105263157894,10.18421052631579,10.0,5.2894736842105265,2.0526315789473686,7.7894736842105265,15.368421052631579,7.578947368421052,13.157894736842104,4.105263157894737,9.052631578947368,9.18421052631579,26.526315789473685,24.842105263157894,0.18421052631578946,50.05263157894737,14.736842105263158,15.789473684210526
Tottenham,2023,38.0,ENG,34,21,19090000.0,649100000.0,29,0.13000000000000012,0.13157894736842105,0.15789473684210525,2.026315789473684,0.07894736842105263,0.02631578947368421,11.157894736842104,9.289473684210526,1.763157894736842,0.02631578947368421,1.6578947368421053,65.1,26.3,55.1,0.3,-0.18157894736842106,33.0,31.0,29.5,4.9,1.18,4.526315789473684,0.02631578947368421,0.0,0.02631578947368421,0.18421052631578946,1.79,1.21,3.0,1.66,2.87,1.5,1.38,1.13,2.64,2.51,36.3,13.47,4.89,0.12,0.34,16.7,0.1,81.2,89.6,87.3,56.2,7304.394736842105,38.13157894736842,2439.3947368421054,0.8947368421052632,0.07631578947368421,10.157894736842104,28.18421052631579,8.5,2.736842105263158,472.36842105263156,43.55263157894737,10.631578947368421,1.9473684210526316,4.342105263157895,18.92105263157895,17.473684210526315,5.342105263157895,2.973684210526316,1.3421052631578947,0.0,23.95,3.05,18.210526315789473,1.5789473684210527,1.2105263157894737,1.4473684210526316,1.0,0.5,2.210526315789474,0.18421052631578946,0.18421052631578946,0.23684210526315788,0.18421052631578946,0.05263157894736842,45.9,43.2,50.0,627.2631578947369,71.94736842105263,225.55263157894737,271.8157894736842,135.1315789473684,22.157894736842106,627.1052631578947,17.526315789473685,359.9736842105263,1876.0526315789473,18.210526315789473,969.5263157894736,12.236842105263158,4.973684210526316,13.710526315789474,9.368421052631579,47.9,53.7,16.289473684210527,9.289473684210526,8.552631578947368,5.657894736842105,2.0789473684210527,7.2368421052631575,15.105263157894736,7.868421052631579,11.263157894736842,3.8947368421052633,7.368421052631579,8.947368421052632,25.236842105263158,20.05263157894737,0.5263157894736842,52.21052631578947,14.447368421052632,12.473684210526315
