country,foreigners,season_start_year,squad_value,season_end_year,squad_size,squad,squad_value_avg,minutes_90s,cards_yellow_red_per90,points_per90,cards_yellow_per90,fouled_per90,gd_per90,pens_att_per90,pens_made_per90,players_used,offsides_per90,fouls_per90,points_away_per90,own_goals_per90,cards_red_per90,points_home_per90,gk_psxg,gk_pens_saved_per90,gk_clean_sheets_pct,gk_psxg_net_per90,gk_pens_missed_per90,goals_against_per90,gk_passes_pct_launched,goals_against_home_per90,gk_goals_against_per90,gk_free_kick_goals_against_per90,gk_pct_passes_launched,gk_save_pct,gk_goal_kick_length_avg,gk_shots_on_target_against_per90,gk_corner_kick_goals_against_per90,gk_crosses_stopped_pct,gk_psnpxg_per_shot_on_target_against,goals_against_away_per90,gk_def_actions_outside_pen_area_per90,goals_for_home_per90,goals_for_per90,xg_per90,goals_per_shot_on_target,npxg_per90,goals_per_shot,shots_per90,goals_assists_pens_per90,shots_on_target_pct,xg_assist_per90,goals_for_away_per90,shots_on_target_per90,goals_per90,xg_xg_assist_per90,goals_assists_per90,assists_per90,npxg_per_shot,goals_pens_per90,npxg_xg_assist_per90,average_shot_distance,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance_per90,progressive_passes_per90,passes_progressive_distance_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,sca_per90,gca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,take_ons_won_pct,take_ons_tackled_pct,possession,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,carries_per90,carries_distance_per90,progressive_carries_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,challenge_tackles_pct,aerials_won_pct,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90
ENG,29,2019,194350000.0,2020,41,Brighton,4740000.0,38.0,0.02631578947368421,1.0789473684210527,1.605263157894737,7.921052631578948,-0.66,0.15789473684210525,0.13157894736842105,21,2.3684210526315788,12.18421052631579,0.5,0.0,0.10526315789473684,0.5789473684210527,55.9,0.0,18.4,-0.10789473684210525,0.0,1.4210526315789473,39.9,0.7105263157894737,1.5789473684210527,0.02631578947368421,62.8,70.6,59.4,4.473684210526316,0.13157894736842105,3.6,0.28,0.7105263157894737,0.34,0.5263157894736842,1.0263157894736843,0.93,0.3,0.81,0.08,9.58,1.42,27.2,0.64,0.5,2.61,0.92,1.57,1.55,0.63,0.09,0.79,1.45,17.9,72.6,84.2,79.5,51.2,5726.394736842105,30.263157894736842,2264.8947368421054,0.6078947368421053,-0.013157894736842105,7.394736842105263,23.342105263157894,5.868421052631579,2.1315789473684212,366.10526315789474,47.94736842105263,8.68421052631579,0.39473684210526316,4.947368421052632,16.736842105263158,23.157894736842106,4.105263157894737,2.3684210526315788,1.1578947368421053,0.10526315789473684,17.03,1.45,11.236842105263158,2.289473684210526,1.0526315789473684,0.9210526315789473,1.1842105263157894,0.34210526315789475,0.7631578947368421,0.23684210526315788,0.02631578947368421,0.18421052631578946,0.21052631578947367,0.02631578947368421,52.1,47.9,42.4,533.0,64.84210526315789,185.0,238.28947368421052,114.89473684210526,15.289473684210526,532.8684210526316,13.578947368421053,266.36842105263156,1424.2631578947369,12.5,698.3421052631579,9.842105263157896,2.5789473684210527,15.526315789473685,8.842105263157896,45.4,51.4,17.86842105263158,10.289473684210526,9.552631578947368,6.2631578947368425,2.0526315789473686,6.947368421052632,15.31578947368421,8.368421052631579,10.921052631578947,4.473684210526316,6.447368421052632,12.18421052631579,30.05263157894737,26.342105263157894,0.4473684210526316,52.078947368421055,21.68421052631579,20.526315789473685
ENG,22,2019,797600000.0,2020,36,Manchester Utd,22160000.0,38.0,0.05263157894736842,1.736842105263158,1.9736842105263157,10.447368421052632,0.29000000000000004,0.3157894736842105,0.23684210526315788,28,2.3684210526315788,11.394736842105264,0.7631578947368421,0.07894736842105263,0.10526315789473684,0.9736842105263158,49.9,0.0,18.4,-0.028947368421052635,0.0,0.9473684210526315,42.7,0.4473684210526316,1.4210526315789473,0.05263157894736842,46.6,71.9,54.6,4.5,0.18421052631578946,1.7,0.26,0.5,0.66,1.0526315789473684,1.736842105263158,1.62,0.27,1.37,0.11,13.53,2.53,40.9,1.04,0.6842105263157895,5.53,1.71,2.66,2.76,1.05,0.1,1.47,2.41,18.7,80.4,89.3,85.2,57.5,7486.5526315789475,43.89473684210526,2677.0526315789475,1.0078947368421052,0.010526315789473684,10.026315789473685,32.078947368421055,8.921052631578947,1.5263157894736843,498.2631578947368,50.473684210526315,11.447368421052632,1.6578947368421053,5.447368421052632,16.789473684210527,22.605263157894736,5.2631578947368425,2.0526315789473686,1.8421052631578947,0.5263157894736842,25.18,3.11,19.210526315789473,1.605263157894737,1.4210526315789473,1.394736842105263,1.368421052631579,0.18421052631578946,2.1315789473684212,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.02631578947368421,58.0,41.8,54.7,660.3947368421053,59.526315789473685,177.57894736842104,330.2631578947368,157.68421052631578,23.5,660.078947368421,14.552631578947368,346.8421052631579,1847.5263157894738,21.07894736842105,1029.421052631579,15.631578947368421,5.657894736842105,13.894736842105264,11.157894736842104,44.1,55.5,15.289473684210526,9.131578947368421,7.368421052631579,6.2894736842105265,1.631578947368421,6.315789473684211,14.31578947368421,8.0,11.710526315789474,3.3684210526315788,8.342105263157896,9.342105263157896,24.63157894736842,22.289473684210527,0.6842105263157895,51.81578947368421,18.07894736842105,14.473684210526315
ENG,28,2019,659050000.0,2020,42,Arsenal,15690000.0,38.0,0.02631578947368421,1.4736842105263157,1.9210526315789473,11.973684210526315,0.48,0.13157894736842105,0.10526315789473684,28,2.3421052631578947,10.842105263157896,0.5263157894736842,0.02631578947368421,0.05263157894736842,0.9473684210526315,53.5,0.0,21.1,0.09210526315789473,0.0,1.263157894736842,33.3,0.631578947368421,1.3421052631578947,0.02631578947368421,29.2,75.8,45.5,4.7894736842105265,0.07894736842105263,3.3,0.26,0.631578947368421,1.26,0.9473684210526315,1.4736842105263157,1.58,0.41,1.47,0.14,12.16,3.08,34.4,1.23,0.5263157894736842,4.18,1.82,2.81,3.18,1.37,0.12,1.71,2.7,16.7,81.7,89.1,87.4,59.5,8247.368421052632,49.31578947368421,2764.315789473684,1.1552631578947368,0.1394736842105263,9.552631578947368,32.10526315789474,10.973684210526315,1.6578947368421053,539.9473684210526,51.10526315789474,14.289473684210526,1.7105263157894737,4.0,15.921052631578947,21.657894736842106,5.5,1.5526315789473684,1.7105263157894737,0.05263157894736842,21.87,3.05,17.236842105263158,1.5263157894736843,1.3157894736842106,0.8947368421052632,0.5789473684210527,0.3157894736842105,2.3947368421052633,0.15789473684210525,0.13157894736842105,0.15789473684210525,0.18421052631578946,0.02631578947368421,56.7,43.3,58.1,701.8421052631579,64.65789473684211,210.42105263157896,325.8157894736842,170.8421052631579,25.894736842105264,701.7105263157895,14.105263157894736,391.8157894736842,2180.3947368421054,22.842105263157894,1169.7631578947369,15.552631578947368,5.342105263157895,14.842105263157896,10.763157894736842,42.6,46.6,16.026315789473685,9.631578947368421,7.7368421052631575,6.2105263157894735,2.0789473684210527,6.0,14.078947368421053,8.078947368421053,11.157894736842104,3.1052631578947367,8.052631578947368,10.842105263157896,26.86842105263158,21.0,0.7368421052631579,52.63157894736842,14.605263157894736,16.763157894736842
ENG,25,2019,86300000.0,2020,37,Norwich,2330000.0,46.0,0.0,0.45652173913043476,1.7173913043478262,14.282608695652174,0.76,0.15217391304347827,0.021739130434782608,24,1.3043478260869565,11.565217391304348,0.13043478260869565,0.021739130434782608,0.021739130434782608,0.32608695652173914,46.3,0.0,28.3,-0.21086956521739128,0.0,1.6304347826086956,28.1,0.8043478260869565,1.2391304347826086,0.0,42.1,72.4,47.2,4.173913043478261,0.2826086956521739,3.8,0.23,0.8260869565217391,0.57,0.41304347826086957,0.5652173913043478,1.7,0.37,1.59,0.13,15.26,3.5,34.8,1.22,0.15217391304347827,5.3,2.0,2.93,3.52,1.52,0.11,1.98,2.81,17.1,78.1,88.3,84.1,47.4,7315.891304347826,44.5,2719.391304347826,1.141304347826087,0.29782608695652174,11.41304347826087,31.73913043478261,8.565217391304348,1.1521739130434783,497.60869565217394,54.82608695652174,14.934782608695652,1.0,3.130434782608696,17.76086956521739,22.91304347826087,6.586956521739131,3.6956521739130435,2.217391304347826,0.13043478260869565,26.76,3.5,19.73913043478261,1.9130434782608696,1.326086956521739,1.891304347826087,1.4130434782608696,0.4782608695652174,2.6739130434782608,0.1956521739130435,0.1956521739130435,0.2391304347826087,0.10869565217391304,0.08695652173913043,54.1,45.9,57.5,667.6739130434783,61.58695652173913,219.04347826086956,296.9130434782609,158.2608695652174,25.934782608695652,667.5217391304348,17.0,363.0217391304348,2093.3260869565215,23.130434782608695,1136.4347826086957,14.326086956521738,6.565217391304348,14.108695652173912,11.543478260869565,47.1,45.1,16.52173913043478,10.5,8.391304347826088,6.086956521739131,2.0434782608695654,6.891304347826087,14.630434782608695,7.739130434782608,11.217391304347826,2.8260869565217392,8.391304347826088,9.673913043478262,26.195652173913043,21.391304347826086,0.21739130434782608,56.91304347826087,16.608695652173914,20.195652173913043
ENG,28,2019,529100000.0,2020,40,Everton,13230000.0,38.0,0.02631578947368421,1.2894736842105263,1.4736842105263157,11.0,0.17999999999999994,0.13157894736842105,0.05263157894736842,23,1.8157894736842106,11.368421052631579,0.47368421052631576,0.05263157894736842,0.10526315789473684,0.8157894736842105,45.3,0.07894736842105263,36.8,0.034210526315789476,0.0,1.4736842105263157,34.9,0.5526315789473685,1.2105263157894737,0.05263157894736842,54.0,67.6,53.7,3.5789473684210527,0.23684210526315788,3.2,0.3,0.9210526315789473,1.05,0.631578947368421,1.1578947368421053,1.31,0.31,1.2,0.1,12.97,2.24,33.1,0.89,0.5263157894736842,4.29,1.39,2.19,2.29,0.89,0.1,1.34,2.09,16.9,75.1,84.9,81.0,52.2,6392.315789473684,41.60526315789474,2444.5789473684213,0.7999999999999999,0.007894736842105263,9.289473684210526,29.0,7.842105263157895,2.473684210526316,430.94736842105266,53.473684210526315,13.026315789473685,1.1578947368421053,3.6842105263157894,21.42105263157895,24.92105263157895,5.657894736842105,2.0789473684210527,3.0,0.10526315789473684,22.24,2.45,15.078947368421053,2.3157894736842106,1.5,1.605263157894737,1.4736842105263157,0.2631578947368421,1.7105263157894737,0.13157894736842105,0.21052631578947367,0.3157894736842105,0.07894736842105263,0.0,55.9,44.0,51.5,605.6578947368421,57.23684210526316,181.23684210526315,275.92105263157896,154.55263157894737,22.526315789473685,605.5526315789474,15.447368421052632,333.8157894736842,1743.5526315789473,18.342105263157894,895.5263157894736,13.736842105263158,4.368421052631579,18.236842105263158,12.342105263157896,43.1,49.9,18.394736842105264,11.605263157894736,8.578947368421053,7.631578947368421,2.1842105263157894,5.7894736842105265,13.447368421052632,7.657894736842105,10.894736842105264,2.236842105263158,8.657894736842104,11.921052631578947,30.31578947368421,23.07894736842105,0.5526315789473685,56.76315789473684,22.94736842105263,23.07894736842105
ENG,27,2019,434100000.0,2020,37,Leicester,11730000.0,38.0,0.07894736842105263,1.631578947368421,1.5789473684210527,9.947368421052632,0.0,0.18421052631578946,0.13157894736842105,25,1.894736842105263,9.236842105263158,0.6578947368421053,0.0,0.13157894736842105,0.9736842105263158,40.0,0.0,26.3,-0.21052631578947367,0.0,1.0789473684210527,44.1,0.4473684210526316,1.263157894736842,0.0,44.3,68.8,52.3,3.6315789473684212,0.10526315789473684,2.2,0.26,0.631578947368421,0.66,0.9210526315789473,1.763157894736842,1.38,0.25,1.24,0.08,13.37,2.03,34.1,0.99,0.8421052631578947,4.55,1.26,2.37,2.16,0.89,0.1,1.13,2.23,18.6,76.8,86.3,81.2,56.2,6831.710526315789,40.44736842105263,2501.3684210526317,0.8289473684210527,-0.09473684210526316,10.026315789473685,31.07894736842105,6.947368421052632,1.736842105263158,449.07894736842104,50.81578947368421,11.921052631578947,2.3157894736842106,4.894736842105263,20.5,22.94736842105263,5.526315789473684,2.1578947368421053,2.263157894736842,0.3684210526315789,23.63,2.24,16.44736842105263,2.289473684210526,1.6842105263157894,1.4736842105263157,1.3157894736842106,0.42105263157894735,1.5526315789473684,0.07894736842105263,0.18421052631578946,0.18421052631578946,0.23684210526315788,0.0,59.0,41.0,50.9,622.5526315789474,59.0,186.42105263157896,289.39473684210526,153.26315789473685,21.157894736842106,622.3684210526316,17.473684210526315,361.7631578947368,1899.157894736842,19.789473684210527,1009.0263157894736,15.052631578947368,5.184210526315789,15.31578947368421,9.394736842105264,43.2,54.4,17.763157894736842,10.342105263157896,9.052631578947368,7.2894736842105265,1.4210526315789473,6.2368421052631575,14.447368421052632,8.210526315789474,11.289473684210526,2.526315789473684,8.763157894736842,11.526315789473685,29.289473684210527,27.210526315789473,0.631578947368421,54.921052631578945,21.342105263157894,17.86842105263158
ENG,17,2019,310000000.0,2020,37,Bournemouth,8380000.000000001,38.0,0.0,0.8947368421052632,1.5789473684210527,11.605263157894736,-0.3900000000000001,0.23684210526315788,0.18421052631578946,28,1.5,8.947368421052632,0.34210526315789475,0.07894736842105263,0.02631578947368421,0.5526315789473685,55.2,0.0,26.3,-0.3105263157894737,0.0,1.7105263157894737,37.3,0.7894736842105263,1.8421052631578947,0.05263157894736842,40.9,62.4,48.7,4.552631578947368,0.15789473684210525,4.7,0.3,0.9210526315789473,0.79,0.5789473684210527,1.0526315789473684,1.4,0.31,1.22,0.11,11.5,2.39,35.0,1.02,0.47368421052631576,4.03,1.45,2.42,2.58,1.13,0.11,1.26,2.24,17.4,76.5,85.7,82.1,50.7,6084.289473684211,37.76315789473684,2396.7105263157896,0.8947368421052632,0.1105263157894737,8.68421052631579,25.763157894736842,8.68421052631579,2.0,411.36842105263156,51.60526315789474,13.473684210526315,1.5,2.210526315789474,16.13157894736842,21.894736842105264,5.026315789473684,1.9473684210526316,1.5263157894736843,0.05263157894736842,20.74,2.61,14.68421052631579,2.1842105263157894,1.2105263157894737,1.0263157894736843,1.236842105263158,0.39473684210526316,1.6842105263157894,0.23684210526315788,0.21052631578947367,0.15789473684210525,0.23684210526315788,0.07894736842105263,50.3,49.7,46.9,581.0263157894736,64.13157894736842,198.97368421052633,250.18421052631578,138.3421052631579,22.289473684210527,580.8157894736842,15.210526315789474,347.63157894736844,1822.6315789473683,19.42105263157895,961.4736842105264,14.0,4.526315789473684,14.868421052631579,9.368421052631579,43.7,48.8,13.81578947368421,7.868421052631579,7.5,4.868421052631579,1.4473684210526316,5.684210526315789,13.0,7.315789473684211,10.657894736842104,4.0,6.657894736842105,9.763157894736842,23.57894736842105,28.894736842105264,0.5526315789473685,50.26315789473684,18.44736842105263,19.36842105263158
ENG,23,2019,244650000.0,2020,37,Newcastle,6610000.0,38.0,0.0,1.1578947368421053,1.5,8.736842105263158,-0.17999999999999994,0.07894736842105263,0.02631578947368421,24,1.5526315789473684,11.131578947368421,0.47368421052631576,0.02631578947368421,0.05263157894736842,0.6842105263157895,42.3,0.0,28.9,-0.1236842105263158,0.0,1.5263157894736843,35.3,0.5526315789473685,1.263157894736842,0.05263157894736842,51.1,70.0,57.9,3.6842105263157894,0.23684210526315788,6.6,0.27,0.9736842105263158,0.87,0.5263157894736842,1.0,1.03,0.29,0.97,0.09,11.66,1.92,30.7,0.72,0.47368421052631576,3.58,1.08,1.75,1.95,0.87,0.09,1.05,1.69,18.8,70.7,83.4,77.3,48.5,5192.210526315789,25.92105263157895,2091.4473684210525,0.6157894736842104,0.14736842105263157,8.526315789473685,20.842105263157894,6.7105263157894735,2.6052631578947367,351.55263157894734,47.71052631578947,10.236842105263158,1.3157894736842106,5.7105263157894735,18.710526315789473,21.973684210526315,4.7631578947368425,1.9210526315789473,1.868421052631579,0.2894736842105263,20.63,1.79,15.026315789473685,2.026315789473684,0.868421052631579,1.131578947368421,1.105263157894737,0.47368421052631576,1.2105263157894737,0.13157894736842105,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.02631578947368421,53.2,46.6,40.4,527.578947368421,62.10526315789474,184.8684210526316,230.71052631578948,117.3157894736842,16.86842105263158,527.5,11.68421052631579,230.23684210526315,1224.7894736842106,12.289473684210526,620.921052631579,10.789473684210526,2.5,15.526315789473685,10.526315789473685,42.7,46.2,18.710526315789473,11.394736842105264,9.368421052631579,7.657894736842105,1.6842105263157894,6.342105263157895,14.868421052631579,8.526315789473685,12.421052631578947,3.5526315789473686,8.868421052631579,13.31578947368421,32.026315789473685,31.68421052631579,0.42105263157894735,53.526315789473685,20.657894736842106,24.05263157894737
ENG,24,2019,359000000.0,2020,37,West Ham,9700000.0,38.0,0.0,1.0263157894736843,1.5526315789473684,10.210526315789474,-0.10999999999999988,0.13157894736842105,0.13157894736842105,26,1.868421052631579,8.710526315789474,0.4473684210526316,0.02631578947368421,0.02631578947368421,0.5789473684210527,62.7,0.02631578947368421,18.4,0.22894736842105262,0.0,1.631578947368421,37.1,0.868421052631579,1.4473684210526316,0.0,59.0,74.2,61.3,5.2105263157894735,0.2631578947368421,5.2,0.31,0.7631578947368421,0.42,0.7894736842105263,1.2894736842105263,1.25,0.31,1.15,0.11,11.47,2.08,34.2,0.9,0.5,3.92,1.34,2.15,2.21,0.87,0.1,1.21,2.05,17.2,76.8,86.9,81.6,54.8,6294.026315789473,38.89473684210526,2381.184210526316,0.8131578947368421,-0.028947368421052635,8.552631578947368,26.44736842105263,7.0,1.4473684210526316,422.44736842105266,50.36842105263158,13.18421052631579,1.9736842105263157,4.2368421052631575,16.605263157894736,21.68421052631579,4.947368421052632,2.263157894736842,2.1578947368421053,0.10526315789473684,20.32,2.32,14.342105263157896,2.026315789473684,1.131578947368421,1.4210526315789473,0.9473684210526315,0.4473684210526316,1.5789473684210527,0.13157894736842105,0.18421052631578946,0.2631578947368421,0.13157894736842105,0.02631578947368421,58.2,41.8,48.6,593.1842105263158,61.8421052631579,166.78947368421052,291.92105263157896,140.78947368421052,20.57894736842105,593.0526315789474,17.57894736842105,306.1578947368421,1778.8684210526317,19.236842105263158,917.0,14.263157894736842,4.973684210526316,14.526315789473685,10.263157894736842,42.3,50.6,19.026315789473685,10.342105263157896,10.131578947368421,7.342105263157895,1.5526315789473684,7.7631578947368425,18.342105263157894,10.578947368421053,12.842105263157896,3.736842105263158,9.105263157894736,12.026315789473685,31.05263157894737,24.36842105263158,0.42105263157894735,55.36842105263158,16.736842105263158,16.31578947368421
ENG,40,2019,1170000000.0,2020,54,Chelsea,21600000.0,38.0,0.0,1.736842105263158,1.2894736842105263,11.157894736842104,0.5800000000000001,0.13157894736842105,0.13157894736842105,24,2.1842105263157894,8.921052631578947,0.7894736842105263,0.0,0.0,0.9473684210526315,36.8,0.02631578947368421,42.1,-0.05789473684210527,0.0,1.4210526315789473,49.2,0.42105263157894735,1.0263157894736843,0.0,15.9,69.4,37.1,3.263157894736842,0.15789473684210525,4.1,0.28,1.0,0.92,0.7894736842105263,1.8157894736842106,1.54,0.29,1.44,0.09,15.84,2.84,31.9,1.18,1.0263157894736843,5.05,1.61,2.72,2.97,1.37,0.09,1.47,2.62,17.8,85.8,91.7,88.5,66.4,9404.078947368422,56.71052631578947,3067.6052631578946,1.2078947368421051,0.1868421052631579,12.68421052631579,43.1578947368421,10.921052631578947,1.7105263157894737,655.1052631578947,47.28947368421053,12.394736842105264,3.8421052631578947,5.684210526315789,18.210526315789473,20.05263157894737,5.657894736842105,1.9473684210526316,2.263157894736842,0.5,29.76,3.0,23.473684210526315,1.5263157894736843,1.605263157894737,1.1842105263157894,1.4210526315789473,0.5526315789473685,2.1578947368421053,0.13157894736842105,0.34210526315789475,0.18421052631578946,0.15789473684210525,0.02631578947368421,63.9,36.0,62.9,809.8421052631579,55.39473684210526,200.3421052631579,379.8421052631579,236.0,27.07894736842105,809.7105263157895,18.5,483.89473684210526,2721.157894736842,27.842105263157894,1534.421052631579,23.605263157894736,6.605263157894737,13.473684210526315,12.052631578947368,44.5,50.9,16.263157894736842,9.605263157894736,7.368421052631579,6.447368421052632,2.4473684210526314,6.342105263157895,14.236842105263158,7.894736842105263,9.394736842105264,1.9210526315789473,7.473684210526316,9.289473684210526,25.55263157894737,16.973684210526315,0.42105263157894735,57.13157894736842,13.763157894736842,13.263157894736842
