squad_size,season_end_year,squad_value_avg,season_start_year,squad,minutes_90s,foreigners,squad_value,country,pens_made_per90,cards_yellow_per90,fouled_per90,points_per90,cards_yellow_red_per90,offsides_per90,own_goals_per90,points_home_per90,pens_att_per90,cards_red_per90,points_away_per90,gd_per90,fouls_per90,players_used,gk_crosses_stopped_pct,gk_goals_against_per90,gk_psxg,goals_against_home_per90,goals_against_away_per90,gk_psnpxg_per_shot_on_target_against,gk_free_kick_goals_against_per90,gk_goal_kick_length_avg,goals_against_per90,gk_save_pct,gk_passes_pct_launched,gk_pens_saved_per90,gk_corner_kick_goals_against_per90,gk_shots_on_target_against_per90,gk_clean_sheets_pct,gk_def_actions_outside_pen_area_per90,gk_pens_missed_per90,gk_pct_passes_launched,gk_psxg_net_per90,xg_assist_per90,goals_per90,goals_for_per90,goals_per_shot,goals_pens_per90,npxg_per_shot,shots_on_target_per90,average_shot_distance,goals_for_home_per90,shots_per90,xg_xg_assist_per90,assists_per90,goals_assists_pens_per90,npxg_xg_assist_per90,shots_on_target_pct,goals_for_away_per90,npxg_per90,xg_per90,goals_assists_per90,goals_per_shot_on_target,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance_per90,progressive_passes_per90,passes_progressive_distance_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,sca_per90,gca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,take_ons_won_pct,take_ons_tackled_pct,possession,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,carries_per90,carries_distance_per90,progressive_carries_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,challenge_tackles_pct,aerials_won_pct,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90
38,2020,6100000.0,2019,Aston Villa,38.0,22,231700000.0,ENG,0.02631578947368421,1.8421052631578947,13.81578947368421,0.9210526315789473,0.02631578947368421,1.631578947368421,0.02631578947368421,0.631578947368421,0.07894736842105263,0.02631578947368421,0.2894736842105263,-0.71,11.868421052631579,28,3.7,1.763157894736842,51.6,0.7894736842105263,0.9736842105263158,0.25,0.02631578947368421,49.4,1.763157894736842,65.9,36.1,0.02631578947368421,0.23684210526315788,4.7894736842105265,18.4,0.74,0.0,50.1,-0.37894736842105264,0.9,1.05,1.0789473684210527,0.09,1.03,0.09,3.87,17.5,0.5789473684210527,11.92,2.06,0.84,1.87,2.0,32.5,0.5,1.1,1.16,1.89,0.27,74.3,86.1,81.8,49.3,5723.105263157895,32.81578947368421,2215.8947368421054,0.7289473684210526,-0.05789473684210527,9.710526315789474,23.894736842105264,7.105263157894737,2.5,358.0,52.78947368421053,14.789473684210526,0.4473684210526316,4.026315789473684,21.0,20.973684210526315,5.2631578947368425,2.8684210526315788,0.8947368421052632,0.21052631578947367,21.79,1.89,15.763157894736842,2.3157894736842106,1.105263157894737,0.9473684210526315,1.4736842105263157,0.18421052631578946,1.263157894736842,0.21052631578947367,0.13157894736842105,0.10526315789473684,0.18421052631578946,0.0,61.9,38.1,44.1,525.7105263157895,69.94736842105263,185.21052631578948,215.8684210526316,130.76315789473685,18.289473684210527,525.6315789473684,14.973684210526315,271.5,1615.078947368421,16.81578947368421,830.4473684210526,12.526315789473685,3.6578947368421053,14.368421052631579,8.236842105263158,37.4,48.7,13.763157894736842,7.657894736842105,7.5,4.578947368421052,1.6842105263157894,5.868421052631579,15.710526315789474,9.842105263157896,12.0,4.842105263157895,7.157894736842105,11.131578947368421,24.894736842105264,24.42105263157895,0.6842105263157895,50.0,18.55263157894737,19.526315789473685
34,2020,4080000.0,2019,Sheffield Utd,38.0,16,138600000.0,ENG,0.02631578947368421,1.6578947368421053,8.052631578947368,1.4210526315789473,0.02631578947368421,2.0526315789473686,0.0,0.868421052631579,0.02631578947368421,0.05263157894736842,0.5526315789473685,-0.08000000000000007,10.842105263157896,26,3.5,1.0263157894736843,43.7,0.39473684210526316,0.631578947368421,0.32,0.0,69.1,1.0263157894736843,72.7,31.0,0.02631578947368421,0.05263157894736842,3.6578947368421053,34.2,0.61,0.02631578947368421,74.4,0.1236842105263158,0.9,0.95,1.0263157894736843,0.1,0.92,0.12,2.87,15.2,0.631578947368421,9.26,2.03,0.66,1.58,2.01,31.0,0.39473684210526316,1.11,1.13,1.61,0.32,71.9,85.4,79.2,46.4,5850.921052631579,35.578947368421055,2207.5526315789475,0.781578947368421,-0.23684210526315788,7.078947368421052,27.710526315789473,7.421052631578948,2.5526315789473686,393.7368421052632,47.8421052631579,9.868421052631579,0.39473684210526316,5.421052631578948,22.789473684210527,23.210526315789473,5.578947368421052,3.9473684210526314,0.47368421052631576,0.47368421052631576,16.58,1.66,12.026315789473685,1.631578947368421,1.1578947368421053,1.0,0.6052631578947368,0.15789473684210525,1.236842105263158,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.02631578947368421,0.0,64.7,35.0,43.1,552.6315789473684,57.36842105263158,162.89473684210526,234.68421052631578,159.73684210526315,19.289473684210527,552.6052631578947,14.078947368421053,250.21052631578948,1271.1315789473683,12.973684210526315,625.6052631578947,9.868421052631579,3.0526315789473686,13.657894736842104,7.684210526315789,40.4,51.6,16.07894736842105,9.921052631578947,8.0,6.026315789473684,2.0526315789473686,6.868421052631579,17.0,10.131578947368421,8.842105263157896,2.789473684210526,6.052631578947368,11.052631578947368,27.13157894736842,24.5,0.42105263157894735,53.71052631578947,24.894736842105264,23.31578947368421
34,2020,30840000.0,2019,Manchester City,38.0,24,1050000000.0,ENG,0.15789473684210525,1.6842105263157894,7.7894736842105265,2.1315789473684212,0.05263157894736842,1.7894736842105263,0.02631578947368421,1.236842105263158,0.2894736842105263,0.10526315789473684,0.8947368421052632,1.71,9.526315789473685,24,4.6,0.9210526315789473,34.1,0.34210526315789475,0.5789473684210527,0.29,0.02631578947368421,31.6,0.9210526315789473,70.9,40.5,0.0,0.10526315789473684,2.8947368421052633,44.7,1.69,0.0,16.6,0.002631578947368421,1.8,2.63,2.6842105263157894,0.13,2.47,0.12,6.58,16.4,1.5,19.34,4.22,1.82,4.29,4.0,34.0,1.1842105263157894,2.2,2.42,4.45,0.38,87.1,92.6,90.2,71.6,10790.5,64.73684210526316,3090.315789473684,1.6500000000000001,0.015789473684210527,15.31578947368421,47.86842105263158,14.552631578947368,2.3421052631578947,698.6578947368421,41.39473684210526,9.263157894736842,2.236842105263158,6.394736842105263,24.07894736842105,18.0,7.842105263157895,2.973684210526316,1.4210526315789473,0.18421052631578946,35.68,4.55,27.36842105263158,1.894736842105263,2.6578947368421053,1.9736842105263157,1.394736842105263,0.39473684210526316,3.236842105263158,0.15789473684210525,0.42105263157894735,0.3684210526315789,0.3157894736842105,0.05263157894736842,67.5,32.6,66.2,839.0526315789474,52.86842105263158,179.10526315789474,410.7631578947368,255.78947368421052,38.76315789473684,838.7631578947369,18.973684210526315,605.8421052631579,3113.8684210526317,31.55263157894737,1748.0526315789473,25.36842105263158,9.921052631578947,12.0,8.973684210526315,38.0,50.8,13.526315789473685,7.921052631578948,5.368421052631579,5.526315789473684,2.6315789473684212,6.052631578947368,15.921052631578947,9.868421052631579,7.684210526315789,1.736842105263158,5.947368421052632,9.263157894736842,22.789473684210527,13.026315789473685,0.5526315789473685,51.55263157894737,13.552631578947368,13.105263157894736
38,2020,15990000.0,2019,Arsenal,38.0,24,607650000.0,ENG,0.07894736842105263,2.3157894736842106,11.5,1.4736842105263157,0.02631578947368421,1.9210526315789473,0.0,0.9473684210526315,0.07894736842105263,0.13157894736842105,0.5263157894736842,0.20999999999999996,11.078947368421053,29,4.1,1.263157894736842,51.8,0.631578947368421,0.631578947368421,0.23,0.0,35.5,1.263157894736842,78.8,25.3,0.02631578947368421,0.23684210526315788,5.078947368421052,26.3,1.11,0.0,24.8,0.09999999999999999,0.83,1.47,1.4736842105263157,0.13,1.39,0.11,3.84,16.4,0.9473684210526315,10.61,2.06,0.92,2.32,2.0,36.2,0.5263157894736842,1.17,1.24,2.39,0.36,81.5,89.6,87.6,57.6,7701.5,43.18421052631579,2485.5263157894738,0.75,0.09473684210526316,7.842105263157895,30.63157894736842,8.18421052631579,1.6578947368421053,485.86842105263156,49.31578947368421,12.81578947368421,1.763157894736842,4.026315789473684,18.394736842105264,19.894736842105264,6.078947368421052,2.526315789473684,1.868421052631579,0.07894736842105263,18.66,2.24,13.18421052631579,1.5526315789473684,1.368421052631579,1.263157894736842,0.868421052631579,0.42105263157894735,1.5,0.13157894736842105,0.10526315789473684,0.23684210526315788,0.10526315789473684,0.15789473684210525,59.0,41.0,53.8,642.7368421052631,72.02631578947368,220.21052631578948,280.2105263157895,148.10526315789474,21.605263157894736,642.6578947368421,18.342105263157894,379.2105263157895,2238.657894736842,21.44736842105263,1229.157894736842,14.052631578947368,5.5,14.394736842105264,9.736842105263158,40.7,46.0,15.368421052631579,8.842105263157896,7.7894736842105265,5.7105263157894735,1.868421052631579,6.552631578947368,16.105263157894736,9.552631578947368,10.473684210526315,3.710526315789474,6.7631578947368425,9.236842105263158,24.605263157894736,19.842105263157894,0.47368421052631576,48.973684210526315,13.18421052631579,15.5
36,2020,5850000.0,2019,Southampton,38.0,20,210750000.0,ENG,0.05263157894736842,1.4473684210526316,10.210526315789474,1.368421052631579,0.02631578947368421,1.5263157894736843,0.02631578947368421,0.5526315789473685,0.13157894736842105,0.10526315789473684,0.8157894736842105,-0.24,11.842105263157896,25,5.0,1.5789473684210527,54.7,0.9210526315789473,0.6578947368421053,0.31,0.02631578947368421,56.2,1.5789473684210527,66.1,32.4,0.02631578947368421,0.13157894736842105,4.421052631578948,23.7,1.03,0.0,59.8,-0.1131578947368421,0.96,1.34,1.3421052631578947,0.1,1.29,0.11,4.5,17.8,0.5526315789473685,13.0,2.43,0.84,2.13,2.33,34.6,0.7894736842105263,1.37,1.48,2.18,0.29,71.5,83.4,77.6,42.5,5758.131578947368,35.13157894736842,2196.4736842105262,0.7552631578947369,-0.11578947368421054,8.947368421052632,26.81578947368421,7.421052631578948,1.8421052631578947,406.57894736842104,51.578947368421055,11.789473684210526,0.7105263157894737,3.5,18.157894736842106,25.0,5.526315789473684,2.789473684210526,2.289473684210526,0.13157894736842105,22.18,2.03,14.736842105263158,1.9473684210526316,1.8421052631578947,1.394736842105263,1.5789473684210527,0.6842105263157895,1.0789473684210527,0.07894736842105263,0.39473684210526316,0.21052631578947367,0.18421052631578946,0.07894736842105263,62.2,37.8,48.9,584.2105263157895,55.86842105263158,163.05263157894737,282.9736842105263,144.6578947368421,21.342105263157894,584.1052631578947,17.894736842105264,278.39473684210526,1541.8947368421052,16.526315789473685,784.078947368421,12.078947368421053,4.7894736842105265,17.210526315789473,9.526315789473685,40.9,48.0,18.57894736842105,10.947368421052632,8.552631578947368,7.552631578947368,2.473684210526316,8.526315789473685,20.86842105263158,12.342105263157896,12.842105263157896,3.263157894736842,9.578947368421053,11.18421052631579,29.763157894736842,22.81578947368421,0.5526315789473685,56.578947368421055,21.31578947368421,23.105263157894736
36,2020,22410000.0,2019,Tottenham,38.0,22,806800000.0,ENG,0.07894736842105263,2.210526315789474,11.157894736842104,1.5526315789473684,0.02631578947368421,1.736842105263158,0.05263157894736842,1.0263157894736843,0.10526315789473684,0.07894736842105263,0.5263157894736842,0.22999999999999998,11.131578947368421,29,4.0,1.236842105263158,53.0,0.4473684210526316,0.7894736842105263,0.26,0.02631578947368421,41.7,1.236842105263158,76.8,34.5,0.05263157894736842,0.10526315789473684,4.7631578947368425,21.1,0.63,0.0,39.7,0.21052631578947367,0.86,1.47,1.605263157894737,0.12,1.39,0.1,4.05,18.4,0.9473684210526315,11.58,2.12,1.03,2.42,2.03,35.0,0.6578947368421053,1.18,1.26,2.5,0.34,79.3,88.5,84.5,50.8,7067.289473684211,37.10526315789474,2385.1315789473683,0.7421052631578947,0.16842105263157894,8.921052631578947,28.342105263157894,7.447368421052632,1.236842105263158,484.3157894736842,48.05263157894737,12.210526315789474,2.0789473684210527,2.973684210526316,16.86842105263158,20.657894736842106,5.2631578947368425,3.0526315789473686,1.3421052631578947,0.02631578947368421,20.5,2.47,15.5,1.131578947368421,1.4210526315789473,0.9736842105263158,1.0,0.47368421052631576,1.631578947368421,0.07894736842105263,0.34210526315789475,0.2631578947368421,0.10526315789473684,0.05263157894736842,60.1,39.8,52.0,650.7631578947369,67.57894736842105,200.07894736842104,311.2105263157895,146.02631578947367,18.68421052631579,650.6578947368421,19.657894736842106,407.60526315789474,2010.3684210526317,20.210526315789473,1036.5,15.078947368421053,4.7894736842105265,15.18421052631579,11.5,37.2,48.9,17.5,10.921052631578947,8.710526315789474,7.394736842105263,1.394736842105263,6.657894736842105,17.92105263157895,11.263157894736842,11.605263157894736,3.8947368421052633,7.7105263157894735,10.026315789473685,27.526315789473685,23.526315789473685,0.631578947368421,53.21052631578947,16.894736842105264,17.657894736842106
43,2020,15590000.0,2019,Manchester Utd,38.0,25,670450000.0,ENG,0.2631578947368421,1.9210526315789473,11.236842105263158,1.736842105263158,0.0,1.4736842105263157,0.02631578947368421,0.9736842105263158,0.3684210526315789,0.0,0.7631578947368421,0.76,11.131578947368421,29,2.0,0.9473684210526315,34.7,0.4473684210526316,0.5,0.25,0.02631578947368421,29.0,0.9473684210526315,74.8,31.7,0.0,0.21052631578947367,3.4473684210526314,34.2,0.58,0.0,28.4,-0.007894736842105263,1.01,1.71,1.736842105263158,0.1,1.45,0.1,5.29,19.1,1.0526315789473684,13.95,2.65,1.13,2.58,2.36,37.9,0.6842105263157895,1.35,1.64,2.84,0.27,81.7,89.2,86.6,58.8,7756.105263157895,47.05263157894737,2505.4736842105262,0.9526315789473685,0.11842105263157894,10.578947368421053,35.526315789473685,8.973684210526315,1.3157894736842106,522.0,48.23684210526316,12.263157894736842,1.6842105263157894,4.5,16.710526315789473,21.63157894736842,5.368421052631579,2.263157894736842,1.6578947368421053,0.2894736842105263,25.74,2.95,20.157894736842106,1.3157894736842106,1.631578947368421,0.9473684210526315,1.4736842105263157,0.21052631578947367,2.263157894736842,0.10526315789473684,0.18421052631578946,0.05263157894736842,0.3157894736842105,0.02631578947368421,59.7,40.3,55.8,679.9473684210526,57.026315789473685,190.05263157894737,311.57894736842104,184.02631578947367,23.105263157894736,679.578947368421,19.657894736842106,381.5263157894737,2184.6315789473683,24.36842105263158,1217.9473684210527,17.92105263157895,6.7105263157894735,14.710526315789474,10.421052631578947,40.1,52.1,15.236842105263158,8.763157894736842,7.026315789473684,6.078947368421052,2.1315789473684212,6.684210526315789,16.68421052631579,10.0,9.473684210526315,2.6052631578947367,6.868421052631579,9.973684210526315,25.210526315789473,18.5,0.3684210526315789,54.8421052631579,14.657894736842104,13.473684210526315
32,2020,12850000.0,2019,Leicester,38.0,19,411100000.0,ENG,0.13157894736842105,1.131578947368421,11.68421052631579,1.631578947368421,0.02631578947368421,1.6842105263157894,0.05263157894736842,0.9736842105263158,0.18421052631578946,0.07894736842105263,0.6578947368421053,0.6299999999999999,11.0,24,2.8,1.0789473684210527,44.3,0.4473684210526316,0.631578947368421,0.26,0.0,36.1,1.0789473684210527,75.6,45.2,0.05263157894736842,0.13157894736842105,3.5526315789473686,34.2,0.89,0.0,31.5,0.1394736842105263,1.18,1.71,1.763157894736842,0.11,1.58,0.11,4.82,17.4,0.9210526315789473,14.03,2.82,1.26,2.84,2.67,34.3,0.8421052631578947,1.49,1.64,2.97,0.33,80.7,88.9,86.2,56.8,8014.973684210527,42.421052631578945,2694.4736842105262,0.9289473684210525,0.08157894736842106,10.657894736842104,33.76315789473684,8.236842105263158,1.894736842105263,521.5,50.5,13.026315789473685,1.7894736842105263,3.3157894736842106,20.5,23.236842105263158,5.815789473684211,1.8421052631578947,2.6315789473684212,0.18421052631578946,25.5,3.05,18.605263157894736,1.9210526315789473,1.9736842105263157,1.263157894736842,1.4736842105263157,0.2631578947368421,2.3947368421052633,0.07894736842105263,0.2894736842105263,0.10526315789473684,0.13157894736842105,0.05263157894736842,54.8,45.2,57.1,690.7105263157895,57.55263157894737,205.6315789473684,321.7368421052632,168.81578947368422,24.342105263157894,690.5263157894736,18.105263157894736,421.5263157894737,2031.0526315789473,19.44736842105263,1041.657894736842,14.763157894736842,5.868421052631579,15.842105263157896,8.631578947368421,41.1,49.4,19.526315789473685,11.368421052631579,9.131578947368421,8.421052631578947,1.9736842105263157,7.842105263157895,19.07894736842105,11.236842105263158,11.052631578947368,2.4210526315789473,8.631578947368421,11.131578947368421,30.657894736842106,20.18421052631579,0.42105263157894735,55.36842105263158,17.342105263157894,17.736842105263158
45,2020,4460000.0,2019,Brighton,38.0,29,200780000.0,ENG,0.02631578947368421,1.5526315789473684,8.552631578947368,1.0789473684210527,0.02631578947368421,1.868421052631579,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.5,-0.4999999999999999,10.157894736842104,25,3.8,1.4210526315789473,50.2,0.7105263157894737,0.7105263157894737,0.29,0.0,33.4,1.4210526315789473,69.0,50.2,0.0,0.18421052631578946,4.421052631578948,23.7,0.68,0.0,25.3,-0.04736842105263158,0.83,0.92,1.0263157894736843,0.07,0.89,0.1,3.66,17.6,0.5263157894736842,12.11,2.03,0.63,1.53,1.99,30.2,0.5,1.15,1.2,1.55,0.24,79.2,86.6,86.4,56.6,7649.131578947368,44.078947368421055,2696.9210526315787,0.718421052631579,-0.19999999999999998,9.026315789473685,29.57894736842105,7.7368421052631575,1.631578947368421,478.7894736842105,47.13157894736842,10.368421052631579,0.8947368421052632,5.2631578947368425,18.13157894736842,22.44736842105263,4.684210526315789,2.0526315789473686,2.0526315789473686,0.0,21.16,1.71,15.763157894736842,1.9210526315789473,1.0263157894736843,1.263157894736842,1.0526315789473684,0.13157894736842105,1.1578947368421053,0.23684210526315788,0.13157894736842105,0.05263157894736842,0.13157894736842105,0.0,57.4,42.6,52.2,641.7631578947369,71.60526315789474,215.10526315789474,282.2105263157895,149.81578947368422,20.263157894736842,641.7105263157895,15.368421052631579,344.05263157894734,1946.0526315789473,17.605263157894736,997.3157894736842,13.210526315789474,4.342105263157895,16.473684210526315,10.5,38.2,54.5,16.86842105263158,9.973684210526315,7.7631578947368425,7.078947368421052,2.026315789473684,6.447368421052632,16.894736842105264,10.447368421052632,11.5,3.6052631578947367,7.894736842105263,11.026315789473685,27.894736842105264,19.736842105263158,0.39473684210526316,54.3421052631579,18.157894736842106,15.18421052631579
38,2020,7990000.0,2019,West Ham,38.0,26,303600000.0,ENG,0.10526315789473684,1.6842105263157894,9.078947368421053,1.0263157894736843,0.02631578947368421,1.736842105263158,0.07894736842105263,0.5789473684210527,0.10526315789473684,0.02631578947368421,0.4473684210526316,-0.33999999999999986,10.18421052631579,29,2.0,1.631578947368421,60.5,0.868421052631579,0.7631578947368421,0.3,0.05263157894736842,58.9,1.631578947368421,69.5,38.8,0.02631578947368421,0.15789473684210525,4.921052631578948,18.4,0.58,0.0,62.7,0.039473684210526314,0.97,1.29,1.2894736842105263,0.11,1.18,0.11,4.11,16.4,0.7894736842105263,10.87,2.24,0.95,2.13,2.16,37.8,0.5,1.2,1.28,2.24,0.29,73.8,84.9,79.9,50.6,5833.1578947368425,36.23684210526316,2353.0789473684213,0.8789473684210526,-0.018421052631578946,8.631578947368421,28.5,6.421052631578948,2.1052631578947367,393.86842105263156,48.10526315789474,11.368421052631579,1.0,4.105263157894737,19.394736842105264,21.44736842105263,5.0,2.9210526315789473,1.4210526315789473,0.15789473684210525,19.34,2.34,13.526315789473685,2.0526315789473686,1.105263157894737,1.105263157894737,1.236842105263158,0.3157894736842105,1.631578947368421,0.18421052631578946,0.13157894736842105,0.18421052631578946,0.21052631578947367,0.0,59.9,39.8,44.1,552.421052631579,56.81578947368421,164.71052631578948,254.76315789473685,138.55263157894737,19.63157894736842,552.3157894736842,17.44736842105263,293.5263157894737,1641.0263157894738,17.526315789473685,792.9473684210526,12.763157894736842,4.421052631578948,13.052631578947368,8.473684210526315,40.3,51.6,18.31578947368421,10.973684210526315,9.842105263157896,6.921052631578948,1.5526315789473684,7.894736842105263,19.605263157894736,11.710526315789474,10.078947368421053,3.0789473684210527,7.0,11.078947368421053,29.394736842105264,20.763157894736842,0.42105263157894735,54.0,22.5,21.07894736842105
