squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away
Alaves,2020,2021,38,36.0,57.0,24,21.0,25.0,14,15.0,32.0
Betis,2020,2021,61,50.0,50.0,35,27.0,21.0,26,23.0,29.0
Valladolid,2020,2021,31,34.0,57.0,16,19.0,30.0,15,15.0,27.0
Real Sociedad,2020,2021,62,59.0,38.0,33,34.0,21.0,29,25.0,17.0
Villarreal,2020,2021,58,60.0,44.0,30,29.0,23.0,28,31.0,21.0
Huesca,2020,2021,34,34.0,53.0,22,17.0,21.0,12,17.0,32.0
Valencia,2020,2021,43,50.0,53.0,31,34.0,23.0,12,16.0,30.0
Levante,2020,2021,41,46.0,57.0,24,27.0,30.0,17,19.0,27.0
Getafe,2020,2021,38,28.0,43.0,24,15.0,13.0,14,13.0,30.0
Real Madrid,2020,2021,84,67.0,28.0,42,33.0,13.0,42,34.0,15.0
Elche,2020,2021,36,34.0,55.0,23,18.0,23.0,13,16.0,32.0
Atl. Madrid,2020,2021,86,67.0,25.0,48,41.0,11.0,38,26.0,14.0
Sevilla,2020,2021,77,53.0,33.0,43,27.0,11.0,34,26.0,22.0
Barcelona,2020,2021,79,85.0,38.0,38,44.0,20.0,41,41.0,18.0
Valencia,2021,2022,48,48.0,53.0,26,26.0,24.0,22,22.0,29.0
Getafe,2021,2022,39,33.0,41.0,28,21.0,15.0,11,12.0,26.0
Mallorca,2021,2022,39,36.0,63.0,27,20.0,25.0,12,16.0,38.0
Betis,2021,2022,65,62.0,40.0,32,34.0,22.0,33,28.0,18.0
Cadiz CF,2021,2022,39,35.0,51.0,18,19.0,24.0,21,16.0,27.0
Levante,2021,2022,35,51.0,76.0,22,28.0,30.0,13,23.0,46.0
Osasuna,2021,2022,47,37.0,51.0,22,17.0,26.0,25,20.0,25.0
Espanyol,2021,2022,42,40.0,53.0,33,25.0,19.0,9,15.0,34.0
Alaves,2021,2022,31,31.0,65.0,25,17.0,21.0,6,14.0,44.0
Real Madrid,2021,2022,86,80.0,31.0,44,44.0,13.0,42,36.0,18.0
Celta Vigo,2021,2022,46,43.0,43.0,25,26.0,23.0,21,17.0,20.0
Atl. Madrid,2021,2022,71,65.0,43.0,41,33.0,16.0,30,32.0,27.0
Barcelona,2021,2022,73,68.0,38.0,38,37.0,19.0,35,31.0,19.0
Real Sociedad,2021,2022,62,40.0,37.0,35,16.0,9.0,27,24.0,28.0
Sevilla,2021,2022,70,53.0,30.0,42,36.0,17.0,28,17.0,13.0
Rayo Vallecano,2021,2022,42,39.0,50.0,29,26.0,22.0,13,13.0,28.0
Villarreal,2021,2022,59,63.0,37.0,36,40.0,18.0,23,23.0,19.0
Granada CF,2021,2022,38,44.0,61.0,22,22.0,29.0,16,22.0,32.0
Elche,2021,2022,42,40.0,52.0,27,24.0,21.0,15,16.0,31.0
Ath Bilbao,2021,2022,55,43.0,36.0,34,29.0,18.0,21,14.0,18.0
Osasuna,2022,2023,53,37.0,42.0,34,24.0,21.0,19,13.0,21.0
Sevilla,2022,2023,49,47.0,54.0,26,24.0,25.0,23,23.0,29.0
Celta Vigo,2022,2023,43,43.0,53.0,27,26.0,21.0,16,17.0,32.0
Espanyol,2022,2023,37,52.0,69.0,19,27.0,35.0,18,25.0,34.0
Valladolid,2022,2023,40,33.0,63.0,28,21.0,25.0,12,12.0,38.0
Villarreal,2022,2023,64,59.0,40.0,39,36.0,18.0,25,23.0,22.0
Barcelona,2022,2023,88,70.0,20.0,48,37.0,4.0,40,33.0,16.0
Rayo Vallecano,2022,2023,49,45.0,53.0,32,28.0,22.0,17,17.0,31.0
Cadiz CF,2022,2023,42,30.0,53.0,27,19.0,23.0,15,11.0,30.0
Real Sociedad,2022,2023,71,51.0,35.0,38,26.0,16.0,33,25.0,19.0
Valencia,2022,2023,42,42.0,45.0,29,27.0,19.0,13,15.0,26.0
Girona,2022,2023,49,58.0,55.0,33,35.0,26.0,16,23.0,29.0
Almeria,2022,2023,41,49.0,65.0,33,29.0,22.0,8,20.0,43.0
Real Madrid,2022,2023,78,75.0,36.0,44,44.0,16.0,34,31.0,20.0
Ath Bilbao,2022,2023,51,47.0,43.0,27,22.0,15.0,24,25.0,28.0
Mallorca,2022,2023,50,37.0,43.0,35,22.0,12.0,15,15.0,31.0
Getafe,2022,2023,42,34.0,45.0,27,21.0,20.0,15,13.0,25.0
Atl. Madrid,2022,2023,77,70.0,33.0,42,41.0,15.0,35,29.0,18.0
Betis,2022,2023,60,46.0,41.0,32,26.0,18.0,28,20.0,23.0
Elche,2022,2023,25,30.0,67.0,15,18.0,29.0,10,12.0,38.0
Almeria,2023,2024,14,,,8,,,6,,
Rayo Vallecano,2023,2024,34,,,17,,,17,,
Sevilla,2023,2024,37,,,20,,,17,,
Valencia,2023,2024,47,,,29,,,18,,
Real Sociedad,2023,2024,51,,,24,,,27,,
Girona,2023,2024,68,,,41,,,27,,
Las Palmas,2023,2024,37,,,22,,,15,,
Mallorca,2023,2024,31,,,22,,,9,,
Ath Bilbao,2023,2024,58,,,38,,,20,,
Real Madrid,2023,2024,81,,,44,,,37,,
Celta Vigo,2023,2024,31,,,17,,,14,,
Osasuna,2023,2024,39,,,21,,,18,,
Villarreal,2023,2024,42,,,19,,,23,,
Betis,2023,2024,48,,,30,,,18,,
Getafe,2023,2024,40,,,29,,,11,,
Barcelona,2023,2024,70,,,37,,,33,,
Cadiz CF,2023,2024,25,,,19,,,6,,
Alaves,2023,2024,35,,,24,,,11,,
Atl. Madrid,2023,2024,61,,,43,,,18,,
Granada CF,2023,2024,18,,,15,,,3,,
Torino,2019,2020,40,46.0,68.0,25,23.0,30.0,15,23.0,38.0
Lazio,2019,2020,78,79.0,42.0,45,46.0,17.0,33,33.0,25.0
Genoa,2019,2020,39,47.0,73.0,22,24.0,31.0,17,23.0,42.0
Juventus,2019,2020,83,76.0,43.0,50,46.0,17.0,33,30.0,26.0
Bologna,2019,2020,47,52.0,65.0,23,25.0,29.0,24,27.0,36.0
Cagliari,2019,2020,45,52.0,56.0,25,32.0,28.0,20,20.0,28.0
Inter,2019,2020,82,81.0,36.0,39,40.0,17.0,43,41.0,19.0
Brescia,2019,2020,25,35.0,79.0,14,21.0,34.0,11,14.0,45.0
Spal,2019,2020,20,27.0,77.0,10,16.0,40.0,10,11.0,37.0
AC Milan,2019,2020,66,63.0,46.0,33,31.0,20.0,33,32.0,26.0
Lecce,2019,2020,35,52.0,85.0,17,30.0,41.0,18,22.0,44.0
Sampdoria,2019,2020,42,48.0,65.0,22,25.0,30.0,20,23.0,35.0
Fiorentina,2019,2020,49,51.0,48.0,23,22.0,22.0,26,29.0,26.0
Sassuolo,2019,2020,51,69.0,63.0,27,44.0,33.0,24,25.0,30.0
Verona,2019,2020,49,47.0,51.0,32,29.0,25.0,17,18.0,26.0
Parma,2019,2020,49,56.0,57.0,23,26.0,24.0,26,30.0,33.0
Atalanta,2019,2020,78,98.0,48.0,38,51.0,26.0,40,47.0,22.0
Napoli,2019,2020,62,61.0,50.0,33,31.0,24.0,29,30.0,26.0
AS Roma,2019,2020,70,77.0,51.0,34,36.0,27.0,36,41.0,24.0
Udinese,2019,2020,45,37.0,51.0,24,18.0,23.0,21,19.0,28.0
Fiorentina,2020,2021,40,47.0,59.0,24,25.0,25.0,16,22.0,34.0
Torino,2020,2021,37,50.0,69.0,18,25.0,36.0,19,25.0,33.0
Verona,2020,2021,45,46.0,48.0,24,23.0,23.0,21,23.0,25.0
AS Roma,2020,2021,62,68.0,58.0,43,42.0,18.0,19,26.0,40.0
Parma,2020,2021,20,39.0,83.0,11,16.0,39.0,9,23.0,44.0
Napoli,2020,2021,77,86.0,41.0,40,50.0,20.0,37,36.0,21.0
Genoa,2020,2021,42,47.0,58.0,22,29.0,30.0,20,18.0,28.0
Crotone,2020,2021,23,45.0,92.0,17,23.0,35.0,6,22.0,57.0
Sassuolo,2020,2021,62,64.0,56.0,29,31.0,27.0,33,33.0,29.0
Cagliari,2020,2021,37,43.0,59.0,19,22.0,32.0,18,21.0,27.0
Juventus,2020,2021,78,77.0,38.0,44,40.0,18.0,34,37.0,20.0
Sampdoria,2020,2021,52,52.0,54.0,30,32.0,26.0,22,20.0,28.0
AC Milan,2020,2021,79,74.0,41.0,30,31.0,24.0,49,43.0,17.0
Bologna,2020,2021,41,51.0,65.0,26,33.0,33.0,15,18.0,32.0
Atalanta,2020,2021,78,90.0,47.0,39,49.0,24.0,39,41.0,23.0
Lazio,2020,2021,68,61.0,55.0,42,36.0,23.0,26,25.0,32.0
Benevento,2020,2021,33,40.0,75.0,13,19.0,39.0,20,21.0,36.0
Inter,2020,2021,91,89.0,35.0,52,53.0,18.0,39,36.0,17.0
Spezia,2020,2021,39,52.0,72.0,22,28.0,33.0,17,24.0,39.0
Udinese,2020,2021,40,42.0,58.0,19,14.0,19.0,21,28.0,39.0
Verona,2021,2022,53,65.0,59.0,30,34.0,25.0,23,31.0,34.0
Sassuolo,2021,2022,50,64.0,66.0,24,27.0,30.0,26,37.0,36.0
Inter,2021,2022,84,84.0,32.0,45,48.0,16.0,39,36.0,16.0
Genoa,2021,2022,28,27.0,60.0,17,14.0,25.0,11,13.0,35.0
Empoli,2021,2022,41,50.0,70.0,17,28.0,44.0,24,22.0,26.0
Lazio,2021,2022,64,77.0,58.0,36,42.0,25.0,28,35.0,33.0
Torino,2021,2022,50,46.0,41.0,29,29.0,21.0,21,17.0,20.0
Atalanta,2021,2022,59,65.0,48.0,20,31.0,29.0,39,34.0,19.0
Bologna,2021,2022,46,44.0,55.0,28,25.0,24.0,18,19.0,31.0
Salernitana,2021,2022,31,33.0,78.0,15,17.0,39.0,16,16.0,39.0
Udinese,2021,2022,47,61.0,58.0,25,31.0,29.0,22,30.0,29.0
Juventus,2021,2022,70,57.0,37.0,35,25.0,14.0,35,32.0,23.0
AS Roma,2021,2022,63,59.0,43.0,36,26.0,16.0,27,33.0,27.0
Fiorentina,2021,2022,62,59.0,51.0,41,38.0,20.0,21,21.0,31.0
Napoli,2021,2022,79,74.0,31.0,36,37.0,16.0,43,37.0,15.0
Venezia,2021,2022,27,34.0,69.0,14,21.0,38.0,13,13.0,31.0
Cagliari,2021,2022,30,34.0,68.0,15,20.0,33.0,15,14.0,35.0
Spezia,2021,2022,36,41.0,71.0,18,21.0,30.0,18,20.0,41.0
Sampdoria,2021,2022,36,46.0,63.0,21,29.0,32.0,15,17.0,31.0
AC Milan,2021,2022,86,69.0,31.0,40,28.0,12.0,46,41.0,19.0
Sampdoria,2022,2023,19,24.0,71.0,10,12.0,28.0,9,12.0,43.0
Atalanta,2022,2023,64,66.0,48.0,33,38.0,26.0,31,28.0,22.0
AC Milan,2022,2023,70,64.0,43.0,43,41.0,20.0,27,23.0,23.0
Udinese,2022,2023,46,47.0,48.0,27,30.0,20.0,19,17.0,28.0
Lecce,2022,2023,36,33.0,46.0,17,18.0,24.0,19,15.0,22.0
Inter,2022,2023,72,71.0,42.0,42,37.0,14.0,30,34.0,28.0
Monza,2022,2023,52,48.0,52.0,26,25.0,22.0,26,23.0,30.0
Torino,2022,2023,53,42.0,41.0,22,15.0,19.0,31,27.0,22.0
Fiorentina,2022,2023,56,53.0,43.0,33,30.0,22.0,23,23.0,21.0
Cremonese,2022,2023,27,36.0,69.0,16,15.0,31.0,11,21.0,38.0
Lazio,2022,2023,74,60.0,30.0,37,32.0,18.0,37,28.0,12.0
Bologna,2022,2023,54,53.0,49.0,30,24.0,14.0,24,29.0,35.0
Salernitana,2022,2023,42,48.0,62.0,27,30.0,26.0,15,18.0,36.0
AS Roma,2022,2023,63,50.0,38.0,36,28.0,15.0,27,22.0,23.0
Spezia,2022,2023,31,31.0,62.0,20,18.0,30.0,11,13.0,32.0
Empoli,2022,2023,43,37.0,49.0,28,22.0,23.0,15,15.0,26.0
Verona,2022,2023,31,31.0,59.0,21,20.0,32.0,10,11.0,27.0
Napoli,2022,2023,90,77.0,28.0,45,40.0,15.0,45,37.0,13.0
Juventus,2022,2023,72,56.0,33.0,42,38.0,15.0,30,18.0,18.0
Sassuolo,2022,2023,45,47.0,61.0,28,24.0,23.0,17,23.0,38.0
Empoli,2023,2024,31,,,16,,,15,,
Verona,2023,2024,31,,,20,,,11,,
Frosinone,2023,2024,28,,,22,,,6,,
Napoli,2023,2024,49,,,23,,,26,,
Inter,2023,2024,86,,,42,,,44,,
Monza,2023,2024,43,,,23,,,20,,
Genoa,2023,2024,39,,,21,,,18,,
Fiorentina,2023,2024,47,,,28,,,19,,
AS Roma,2023,2024,55,,,36,,,19,,
Salernitana,2023,2024,15,,,8,,,7,,
Sassuolo,2023,2024,26,,,17,,,9,,
Atalanta,2023,2024,54,,,32,,,22,,
Lecce,2023,2024,35,,,23,,,12,,
Lazio,2023,2024,52,,,27,,,25,,
Udinese,2023,2024,28,,,12,,,16,,
Juventus,2023,2024,64,,,35,,,29,,
Torino,2023,2024,46,,,29,,,17,,
Cagliari,2023,2024,32,,,24,,,8,,
Bologna,2023,2024,62,,,39,,,23,,
AC Milan,2023,2024,69,,,35,,,34,,
Bayern Munich,2019,2020,82,100.0,32.0,41,53.0,15.0,41,47.0,17.0
Hertha Berlin,2019,2020,41,48.0,59.0,21,23.0,32.0,20,25.0,27.0
Werder Bremen,2019,2020,31,42.0,69.0,9,15.0,36.0,22,27.0,33.0
Dusseldorf,2019,2020,30,36.0,67.0,18,18.0,28.0,12,18.0,39.0
Freiburg,2019,2020,48,48.0,47.0,29,23.0,17.0,19,25.0,30.0
Mainz,2019,2020,37,44.0,65.0,17,18.0,29.0,20,26.0,36.0
Dortmund,2019,2020,69,84.0,41.0,36,46.0,17.0,33,38.0,24.0
Augsburg,2019,2020,36,45.0,63.0,20,28.0,29.0,16,17.0,34.0
Bayer Leverkusen,2019,2020,63,61.0,44.0,31,32.0,22.0,32,29.0,22.0
Paderborn,2019,2020,20,37.0,74.0,8,21.0,46.0,12,16.0,28.0
Wolfsburg,2019,2020,49,48.0,46.0,19,19.0,23.0,30,29.0,23.0
FC Koln,2019,2020,36,51.0,69.0,22,28.0,27.0,14,23.0,42.0
B. Monchengladbach,2019,2020,65,66.0,40.0,38,40.0,21.0,27,26.0,19.0
Schalke,2019,2020,39,38.0,58.0,22,20.0,27.0,17,18.0,31.0
Eintracht Frankfurt,2019,2020,45,59.0,60.0,28,36.0,27.0,17,23.0,33.0
Hoffenheim,2019,2020,52,53.0,53.0,22,26.0,37.0,30,27.0,16.0
Union Berlin,2019,2020,41,41.0,58.0,27,24.0,20.0,14,17.0,38.0
RB Leipzig,2019,2020,66,81.0,37.0,29,38.0,21.0,37,43.0,16.0
Bayern Munich,2020,2021,78,99.0,44.0,43,64.0,21.0,35,35.0,23.0
Schalke,2020,2021,16,25.0,86.0,12,14.0,34.0,4,11.0,52.0
Eintracht Frankfurt,2020,2021,60,69.0,53.0,37,37.0,20.0,23,32.0,33.0
Arminia Bielefeld,2020,2021,35,26.0,52.0,20,13.0,23.0,15,13.0,29.0
FC Koln,2020,2021,33,34.0,60.0,14,20.0,31.0,19,14.0,29.0
Hoffenheim,2020,2021,43,52.0,54.0,27,32.0,24.0,16,20.0,30.0
Werder Bremen,2020,2021,31,36.0,57.0,14,16.0,28.0,17,20.0,29.0
Hertha Berlin,2020,2021,35,41.0,52.0,20,21.0,26.0,15,20.0,26.0
Union Berlin,2020,2021,50,50.0,43.0,32,32.0,18.0,18,18.0,25.0
Augsburg,2020,2021,36,36.0,54.0,22,21.0,25.0,14,15.0,29.0
Stuttgart,2020,2021,45,56.0,55.0,21,27.0,26.0,24,29.0,29.0
Freiburg,2020,2021,45,52.0,52.0,27,33.0,23.0,18,19.0,29.0
Dortmund,2020,2021,64,75.0,46.0,35,40.0,20.0,29,35.0,26.0
B. Monchengladbach,2020,2021,49,64.0,56.0,28,32.0,19.0,21,32.0,37.0
RB Leipzig,2020,2021,65,60.0,32.0,37,29.0,13.0,28,31.0,19.0
Mainz,2020,2021,39,39.0,56.0,16,16.0,26.0,23,23.0,30.0
Wolfsburg,2020,2021,61,61.0,37.0,34,32.0,16.0,27,29.0,21.0
Bayer Leverkusen,2020,2021,52,53.0,39.0,29,34.0,22.0,23,19.0,17.0
B. Monchengladbach,2021,2022,45,54.0,61.0,28,33.0,27.0,17,21.0,34.0
Bayern Munich,2021,2022,77,97.0,37.0,41,48.0,15.0,36,49.0,22.0
Arminia Bielefeld,2021,2022,28,27.0,53.0,16,15.0,23.0,12,12.0,30.0
Freiburg,2021,2022,55,58.0,46.0,29,32.0,25.0,26,26.0,21.0
Augsburg,2021,2022,38,39.0,56.0,25,25.0,26.0,13,14.0,30.0
Hoffenheim,2021,2022,46,58.0,60.0,28,34.0,24.0,18,24.0,36.0
Wolfsburg,2021,2022,42,43.0,54.0,24,25.0,21.0,18,18.0,33.0
Bochum,2021,2022,42,38.0,52.0,28,21.0,17.0,14,17.0,35.0
Union Berlin,2021,2022,57,50.0,44.0,35,25.0,17.0,22,25.0,27.0
Bayer Leverkusen,2021,2022,64,80.0,47.0,32,39.0,23.0,32,41.0,24.0
Stuttgart,2021,2022,33,41.0,59.0,22,28.0,32.0,11,13.0,27.0
Greuther Furth,2021,2022,18,28.0,82.0,14,15.0,33.0,4,13.0,49.0
Dortmund,2021,2022,69,85.0,52.0,39,52.0,28.0,30,33.0,24.0
Eintracht Frankfurt,2021,2022,42,45.0,49.0,19,20.0,22.0,23,25.0,27.0
