time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2021-08-14 03:00:00,Brentford,2,Arsenal,0,2021,2022,2021
2021-08-14 19:30:00,Manchester Utd,5,Leeds,1,2021,2022,2021
2021-08-14 22:00:00,Leicester,1,Wolves,0,2021,2022,2021
2021-08-14 22:00:00,Burnley,1,Brighton,2,2021,2022,2021
2021-08-14 22:00:00,Watford,3,Aston Villa,2,2021,2022,2021
2021-08-14 22:00:00,Everton,3,Southampton,1,2021,2022,2021
2021-08-14 22:00:00,Chelsea,3,Crystal Palace,0,2021,2022,2021
2021-08-15 00:30:00,Norwich,0,Liverpool,3,2021,2022,2021
2021-08-15 21:00:00,Newcastle,2,West Ham,4,2021,2022,2021
2021-08-15 23:30:00,Tottenham,1,Manchester City,0,2021,2022,2021
2021-08-21 19:30:00,Liverpool,2,Burnley,0,2021,2022,2021
2021-08-21 22:00:00,Crystal Palace,0,Brentford,0,2021,2022,2021
2021-08-21 22:00:00,Aston Villa,2,Newcastle,0,2021,2022,2021
2021-08-21 22:00:00,Manchester City,5,Norwich,0,2021,2022,2021
2021-08-21 22:00:00,Leeds,2,Everton,2,2021,2022,2021
2021-08-22 00:30:00,Brighton,2,Watford,0,2021,2022,2021
2021-08-22 21:00:00,Wolves,0,Tottenham,1,2021,2022,2021
2021-08-22 21:00:00,Southampton,1,Manchester Utd,1,2021,2022,2021
2021-08-22 23:30:00,Arsenal,0,Chelsea,2,2021,2022,2021
2021-08-24 03:00:00,West Ham,4,Leicester,1,2021,2022,2021
2021-08-28 19:30:00,Manchester City,5,Arsenal,0,2021,2022,2021
2021-08-28 22:00:00,Brighton,0,Everton,2,2021,2022,2021
2021-08-28 22:00:00,Aston Villa,1,Brentford,1,2021,2022,2021
2021-08-28 22:00:00,Norwich,1,Leicester,2,2021,2022,2021
2021-08-28 22:00:00,Newcastle,2,Southampton,2,2021,2022,2021
2021-08-28 22:00:00,West Ham,2,Crystal Palace,2,2021,2022,2021
2021-08-29 00:30:00,Liverpool,1,Chelsea,1,2021,2022,2021
2021-08-29 21:00:00,Burnley,1,Leeds,1,2021,2022,2021
2021-08-29 21:00:00,Tottenham,1,Watford,0,2021,2022,2021
2021-08-29 23:30:00,Wolves,0,Manchester Utd,1,2021,2022,2021
2021-09-11 19:30:00,Crystal Palace,3,Tottenham,0,2021,2022,2021
2021-09-11 22:00:00,Arsenal,1,Norwich,0,2021,2022,2021
2021-09-11 22:00:00,Leicester,0,Manchester City,1,2021,2022,2021
2021-09-11 22:00:00,Brentford,0,Brighton,1,2021,2022,2021
2021-09-11 22:00:00,Southampton,0,West Ham,0,2021,2022,2021
2021-09-11 22:00:00,Watford,0,Wolves,2,2021,2022,2021
2021-09-11 22:00:00,Manchester Utd,4,Newcastle,1,2021,2022,2021
2021-09-12 00:30:00,Chelsea,3,Aston Villa,0,2021,2022,2021
2021-09-12 23:30:00,Leeds,0,Liverpool,3,2021,2022,2021
2021-09-14 03:00:00,Everton,3,Burnley,1,2021,2022,2021
2021-09-18 03:00:00,Newcastle,1,Leeds,1,2021,2022,2021
2021-09-18 19:30:00,Wolves,0,Brentford,2,2021,2022,2021
2021-09-18 22:00:00,Norwich,1,Watford,3,2021,2022,2021
2021-09-18 22:00:00,Manchester City,0,Southampton,0,2021,2022,2021
2021-09-18 22:00:00,Liverpool,3,Crystal Palace,0,2021,2022,2021
2021-09-18 22:00:00,Burnley,0,Arsenal,1,2021,2022,2021
2021-09-19 00:30:00,Aston Villa,3,Everton,0,2021,2022,2021
2021-09-19 21:00:00,West Ham,1,Manchester Utd,2,2021,2022,2021
2021-09-19 21:00:00,Brighton,2,Leicester,1,2021,2022,2021
2021-09-19 23:30:00,Tottenham,0,Chelsea,3,2021,2022,2021
2021-09-25 19:30:00,Chelsea,0,Manchester City,1,2021,2022,2021
2021-09-25 19:30:00,Manchester Utd,0,Aston Villa,1,2021,2022,2021
2021-09-25 22:00:00,Watford,1,Newcastle,1,2021,2022,2021
2021-09-25 22:00:00,Leicester,2,Burnley,2,2021,2022,2021
2021-09-25 22:00:00,Leeds,1,West Ham,2,2021,2022,2021
2021-09-25 22:00:00,Everton,2,Norwich,0,2021,2022,2021
2021-09-26 00:30:00,Brentford,3,Liverpool,3,2021,2022,2021
2021-09-26 21:00:00,Southampton,0,Wolves,1,2021,2022,2021
2021-09-26 23:30:00,Arsenal,3,Tottenham,1,2021,2022,2021
2021-09-28 03:00:00,Crystal Palace,1,Brighton,1,2021,2022,2021
2021-10-02 19:30:00,Manchester Utd,1,Everton,1,2021,2022,2021
2021-10-02 22:00:00,Wolves,2,Newcastle,1,2021,2022,2021
2021-10-02 22:00:00,Leeds,1,Watford,0,2021,2022,2021
2021-10-02 22:00:00,Chelsea,3,Southampton,1,2021,2022,2021
2021-10-02 22:00:00,Burnley,0,Norwich,0,2021,2022,2021
2021-10-03 00:30:00,Brighton,0,Arsenal,0,2021,2022,2021
2021-10-03 21:00:00,West Ham,1,Brentford,2,2021,2022,2021
2021-10-03 21:00:00,Tottenham,2,Aston Villa,1,2021,2022,2021
2021-10-03 21:00:00,Crystal Palace,2,Leicester,2,2021,2022,2021
2021-10-03 23:30:00,Liverpool,2,Manchester City,2,2021,2022,2021
2021-10-16 19:30:00,Watford,0,Liverpool,5,2021,2022,2021
2021-10-16 22:00:00,Norwich,0,Brighton,0,2021,2022,2021
2021-10-16 22:00:00,Manchester City,2,Burnley,0,2021,2022,2021
2021-10-16 22:00:00,Leicester,4,Manchester Utd,2,2021,2022,2021
2021-10-16 22:00:00,Aston Villa,2,Wolves,3,2021,2022,2021
2021-10-16 22:00:00,Southampton,1,Leeds,0,2021,2022,2021
2021-10-17 00:30:00,Brentford,0,Chelsea,1,2021,2022,2021
2021-10-17 21:00:00,Everton,0,West Ham,1,2021,2022,2021
2021-10-17 23:30:00,Newcastle,2,Tottenham,3,2021,2022,2021
2021-10-19 03:00:00,Arsenal,2,Crystal Palace,2,2021,2022,2021
2021-10-23 03:00:00,Arsenal,3,Aston Villa,1,2021,2022,2021
2021-10-23 19:30:00,Chelsea,7,Norwich,0,2021,2022,2021
2021-10-23 22:00:00,Crystal Palace,1,Newcastle,1,2021,2022,2021
2021-10-23 22:00:00,Southampton,2,Burnley,2,2021,2022,2021
2021-10-23 22:00:00,Leeds,1,Wolves,1,2021,2022,2021
2021-10-23 22:00:00,Everton,2,Watford,5,2021,2022,2021
2021-10-24 00:30:00,Brighton,1,Manchester City,4,2021,2022,2021
2021-10-24 21:00:00,West Ham,1,Tottenham,0,2021,2022,2021
2021-10-24 21:00:00,Brentford,1,Leicester,2,2021,2022,2021
2021-10-24 23:30:00,Manchester Utd,0,Liverpool,5,2021,2022,2021
2021-10-30 19:30:00,Leicester,0,Arsenal,2,2021,2022,2021
2021-10-30 22:00:00,Liverpool,2,Brighton,2,2021,2022,2021
2021-10-30 22:00:00,Burnley,3,Brentford,1,2021,2022,2021
2021-10-30 22:00:00,Newcastle,0,Chelsea,3,2021,2022,2021
2021-10-30 22:00:00,Manchester City,0,Crystal Palace,2,2021,2022,2021
2021-10-30 22:00:00,Watford,0,Southampton,1,2021,2022,2021
2021-10-31 00:30:00,Tottenham,0,Manchester Utd,3,2021,2022,2021
2021-10-31 22:00:00,Norwich,1,Leeds,2,2021,2022,2021
2021-11-01 00:30:00,Aston Villa,1,West Ham,4,2021,2022,2021
2021-11-02 04:00:00,Wolves,2,Everton,1,2021,2022,2021
2021-11-06 04:00:00,Southampton,1,Aston Villa,0,2021,2022,2021
2021-11-06 20:30:00,Manchester Utd,0,Manchester City,2,2021,2022,2021
2021-11-06 23:00:00,Crystal Palace,2,Wolves,0,2021,2022,2021
2021-11-06 23:00:00,Chelsea,1,Burnley,1,2021,2022,2021
