time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
1997-08-09 22:00:00,Wimbledon FC,1,Liverpool,1,1997,1998,1997
1997-08-09 22:00:00,Barnsley,1,West Ham,2,1997,1998,1997
1997-08-09 22:00:00,Blackburn,1,Derby,0,1997,1998,1997
1997-08-09 22:00:00,Coventry,3,Chelsea,2,1997,1998,1997
1997-08-09 22:00:00,Southampton,0,Bolton,1,1997,1998,1997
1997-08-09 22:00:00,Leeds,1,Arsenal,1,1997,1998,1997
1997-08-09 22:00:00,Newcastle,2,Sheffield Wed,1,1997,1998,1997
1997-08-09 22:00:00,Everton,1,Crystal Palace,2,1997,1998,1997
1997-08-09 22:00:00,Leicester,1,Aston Villa,0,1997,1998,1997
1997-08-10 22:00:00,Tottenham,0,Manchester Utd,2,1997,1998,1997
1997-08-11 22:00:00,Arsenal,2,Coventry,0,1997,1998,1997
1997-08-12 22:00:00,Crystal Palace,0,Barnsley,1,1997,1998,1997
1997-08-13 22:00:00,West Ham,2,Tottenham,1,1997,1998,1997
1997-08-13 22:00:00,Sheffield Wed,1,Leeds,3,1997,1998,1997
1997-08-13 22:00:00,Manchester Utd,1,Southampton,0,1997,1998,1997
1997-08-13 22:00:00,Liverpool,1,Leicester,2,1997,1998,1997
1997-08-13 22:00:00,Aston Villa,0,Blackburn,4,1997,1998,1997
1997-08-23 22:00:00,Blackburn,1,Liverpool,1,1997,1998,1997
1997-08-23 22:00:00,Coventry,2,Bolton,2,1997,1998,1997
1997-08-23 22:00:00,Everton,2,West Ham,1,1997,1998,1997
1997-08-23 22:00:00,Leeds,0,Crystal Palace,2,1997,1998,1997
1997-08-23 22:00:00,Southampton,1,Arsenal,3,1997,1998,1997
1997-08-23 22:00:00,Newcastle,1,Aston Villa,0,1997,1998,1997
1997-08-23 22:00:00,Wimbledon FC,1,Sheffield Wed,1,1997,1998,1997
1997-08-23 22:00:00,Leicester,0,Manchester Utd,0,1997,1998,1997
1997-08-23 22:00:00,Tottenham,1,Derby,0,1997,1998,1997
1997-08-24 22:00:00,Barnsley,0,Chelsea,6,1997,1998,1997
1997-08-25 22:00:00,Blackburn,7,Sheffield Wed,2,1997,1998,1997
1997-08-26 22:00:00,Leeds,0,Liverpool,2,1997,1998,1997
1997-08-27 22:00:00,Tottenham,3,Aston Villa,2,1997,1998,1997
1997-08-27 22:00:00,Southampton,1,Crystal Palace,0,1997,1998,1997
1997-08-27 22:00:00,Leicester,3,Arsenal,3,1997,1998,1997
1997-08-27 22:00:00,Everton,0,Manchester Utd,2,1997,1998,1997
1997-08-27 22:00:00,Coventry,1,West Ham,1,1997,1998,1997
1997-08-27 22:00:00,Barnsley,2,Bolton,1,1997,1998,1997
1997-08-27 22:00:00,Wimbledon FC,0,Chelsea,2,1997,1998,1997
1997-08-30 22:00:00,Arsenal,0,Tottenham,0,1997,1998,1997
1997-08-30 22:00:00,Aston Villa,1,Leeds,0,1997,1998,1997
1997-08-30 22:00:00,Chelsea,4,Southampton,2,1997,1998,1997
1997-08-30 22:00:00,Derby,1,Barnsley,0,1997,1998,1997
1997-08-30 22:00:00,Manchester Utd,3,Coventry,0,1997,1998,1997
1997-08-30 22:00:00,Sheffield Wed,1,Leicester,0,1997,1998,1997
1997-08-30 22:00:00,West Ham,3,Wimbledon FC,1,1997,1998,1997
1997-08-30 22:00:00,Crystal Palace,1,Blackburn,2,1997,1998,1997
1997-09-01 22:00:00,Bolton,0,Everton,0,1997,1998,1997
1997-09-13 22:00:00,Crystal Palace,0,Chelsea,3,1997,1998,1997
1997-09-13 22:00:00,Coventry,1,Southampton,0,1997,1998,1997
1997-09-13 22:00:00,Derby,3,Everton,1,1997,1998,1997
1997-09-13 22:00:00,Arsenal,4,Bolton,1,1997,1998,1997
1997-09-13 22:00:00,Liverpool,2,Sheffield Wed,1,1997,1998,1997
1997-09-13 22:00:00,Leicester,3,Tottenham,0,1997,1998,1997
1997-09-13 22:00:00,Newcastle,1,Wimbledon FC,3,1997,1998,1997
1997-09-13 22:00:00,Barnsley,0,Aston Villa,3,1997,1998,1997
1997-09-13 22:00:00,Manchester Utd,2,West Ham,1,1997,1998,1997
1997-09-14 22:00:00,Blackburn,3,Leeds,4,1997,1998,1997
1997-09-20 22:00:00,Aston Villa,2,Derby,1,1997,1998,1997
1997-09-20 22:00:00,Everton,4,Barnsley,2,1997,1998,1997
1997-09-20 22:00:00,Leeds,0,Leicester,1,1997,1998,1997
1997-09-20 22:00:00,Bolton,0,Manchester Utd,0,1997,1998,1997
1997-09-20 22:00:00,Southampton,1,Liverpool,1,1997,1998,1997
1997-09-20 22:00:00,Tottenham,0,Blackburn,0,1997,1998,1997
1997-09-20 22:00:00,West Ham,0,Newcastle,1,1997,1998,1997
1997-09-20 22:00:00,Wimbledon FC,0,Crystal Palace,1,1997,1998,1997
1997-09-20 22:00:00,Sheffield Wed,0,Coventry,0,1997,1998,1997
1997-09-21 22:00:00,Chelsea,2,Arsenal,3,1997,1998,1997
1997-09-22 22:00:00,Liverpool,3,Aston Villa,0,1997,1998,1997
1997-09-23 22:00:00,Wimbledon FC,4,Barnsley,1,1997,1998,1997
1997-09-23 22:00:00,Bolton,1,Tottenham,1,1997,1998,1997
1997-09-24 22:00:00,Coventry,1,Crystal Palace,1,1997,1998,1997
1997-09-24 22:00:00,Leicester,1,Blackburn,1,1997,1998,1997
1997-09-24 22:00:00,Arsenal,4,West Ham,0,1997,1998,1997
1997-09-24 22:00:00,Newcastle,1,Everton,0,1997,1998,1997
1997-09-24 22:00:00,Sheffield Wed,2,Derby,5,1997,1998,1997
1997-09-24 22:00:00,Southampton,0,Leeds,2,1997,1998,1997
1997-09-24 22:00:00,Manchester Utd,2,Chelsea,2,1997,1998,1997
1997-09-27 22:00:00,Aston Villa,2,Sheffield Wed,2,1997,1998,1997
1997-09-27 22:00:00,Barnsley,0,Leicester,2,1997,1998,1997
1997-09-27 22:00:00,Chelsea,1,Newcastle,0,1997,1998,1997
1997-09-27 22:00:00,Crystal Palace,2,Bolton,2,1997,1998,1997
1997-09-27 22:00:00,Tottenham,0,Wimbledon FC,0,1997,1998,1997
1997-09-27 22:00:00,Everton,2,Arsenal,2,1997,1998,1997
1997-09-27 22:00:00,Leeds,1,Manchester Utd,0,1997,1998,1997
1997-09-27 22:00:00,West Ham,2,Liverpool,1,1997,1998,1997
1997-09-27 22:00:00,Derby,4,Southampton,0,1997,1998,1997
1997-09-28 22:00:00,Blackburn,0,Coventry,0,1997,1998,1997
1997-10-04 22:00:00,Arsenal,5,Barnsley,0,1997,1998,1997
1997-10-04 22:00:00,Bolton,0,Aston Villa,1,1997,1998,1997
1997-10-04 22:00:00,Coventry,0,Leeds,0,1997,1998,1997
1997-10-04 22:00:00,Manchester Utd,2,Crystal Palace,0,1997,1998,1997
1997-10-04 22:00:00,Sheffield Wed,3,Everton,1,1997,1998,1997
1997-10-04 22:00:00,Southampton,3,West Ham,0,1997,1998,1997
1997-10-04 22:00:00,Newcastle,1,Tottenham,0,1997,1998,1997
1997-10-04 22:00:00,Wimbledon FC,0,Blackburn,1,1997,1998,1997
1997-10-05 22:00:00,Liverpool,4,Chelsea,2,1997,1998,1997
1997-10-06 22:00:00,Leicester,1,Derby,2,1997,1998,1997
1997-10-18 22:00:00,Chelsea,1,Leicester,0,1997,1998,1997
1997-10-18 22:00:00,Aston Villa,1,Wimbledon FC,2,1997,1998,1997
1997-10-18 22:00:00,Blackburn,1,Southampton,0,1997,1998,1997
1997-10-18 22:00:00,Derby,2,Manchester Utd,2,1997,1998,1997
1997-10-18 22:00:00,Everton,2,Liverpool,0,1997,1998,1997
1997-10-18 22:00:00,Crystal Palace,0,Arsenal,0,1997,1998,1997
1997-10-18 22:00:00,West Ham,3,Bolton,0,1997,1998,1997
1997-10-18 22:00:00,Leeds,4,Newcastle,1,1997,1998,1997
1997-10-19 22:00:00,Tottenham,3,Sheffield Wed,2,1997,1998,1997
1997-10-20 22:00:00,Barnsley,2,Coventry,0,1997,1998,1997
1997-10-22 22:00:00,Derby,1,Wimbledon FC,1,1997,1998,1997
1997-10-25 22:00:00,Southampton,3,Tottenham,2,1997,1998,1997
