time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2023-10-07 03:00:00,Strasbourg,1,Nantes,2,2023,2024,2023,FRA,5,10,7,3,0
2023-10-07 23:00:00,Metz,0,Nice,1,2023,2024,2023,FRA,5,10,7,23,0
2023-10-08 03:00:00,Reims,1,Monaco,3,2023,2024,2023,FRA,6,10,8,3,0
2023-10-08 19:00:00,Marseille,3,Le Havre,0,2023,2024,2023,FRA,6,10,8,19,0
2023-10-08 21:00:00,Lyon,3,Lorient,3,2023,2024,2023,FRA,6,10,8,21,0
2023-10-08 21:00:00,Brest,1,Toulouse,1,2023,2024,2023,FRA,6,10,8,21,0
2023-10-08 23:05:00,Lens,1,Lille,1,2023,2024,2023,FRA,6,10,8,23,5
2023-10-09 02:45:00,Rennes,1,PSG,3,2023,2024,2023,FRA,0,10,9,2,45
2023-10-21 03:00:00,Le Havre,0,Lens,0,2023,2024,2023,FRA,5,10,21,3,0
2023-10-21 23:00:00,PSG,3,Strasbourg,0,2023,2024,2023,FRA,5,10,21,23,0
2023-10-22 03:00:00,Nice,1,Marseille,0,2023,2024,2023,FRA,6,10,22,3,0
2023-10-22 19:00:00,Lorient,2,Rennes,1,2023,2024,2023,FRA,6,10,22,19,0
2023-10-22 21:00:00,Toulouse,1,Reims,1,2023,2024,2023,FRA,6,10,22,21,0
2023-10-22 21:00:00,Nantes,2,Montpellier,0,2023,2024,2023,FRA,6,10,22,21,0
2023-10-22 21:00:00,Lille,1,Brest,0,2023,2024,2023,FRA,6,10,22,21,0
2023-10-22 23:05:00,Monaco,2,Metz,1,2023,2024,2023,FRA,6,10,22,23,5
2023-10-23 02:45:00,Lyon,1,Clermont,2,2023,2024,2023,FRA,0,10,23,2,45
2023-10-28 03:00:00,Clermont,0,Nice,1,2023,2024,2023,FRA,5,10,28,3,0
2023-10-28 23:00:00,Reims,1,Lorient,0,2023,2024,2023,FRA,5,10,28,23,0
2023-10-29 03:00:00,Lens,4,Nantes,0,2023,2024,2023,FRA,6,10,29,3,0
2023-10-29 20:00:00,Brest,2,PSG,3,2023,2024,2023,FRA,6,10,29,20,0
2023-10-29 22:00:00,Montpellier,3,Toulouse,0,2023,2024,2023,FRA,6,10,29,22,0
2023-10-29 22:00:00,Metz,0,Le Havre,0,2023,2024,2023,FRA,6,10,29,22,0
2023-10-29 22:00:00,Lille,2,Monaco,0,2023,2024,2023,FRA,6,10,29,22,0
2023-10-30 00:05:00,Rennes,1,Strasbourg,1,2023,2024,2023,FRA,0,10,30,0,5
2023-11-04 04:00:00,PSG,3,Montpellier,0,2023,2024,2023,FRA,5,11,4,4,0
2023-11-05 00:00:00,Lorient,0,Lens,0,2023,2024,2023,FRA,6,11,5,0,0
2023-11-05 04:00:00,Marseille,0,Lille,0,2023,2024,2023,FRA,6,11,5,4,0
2023-11-05 20:00:00,Lyon,1,Metz,1,2023,2024,2023,FRA,6,11,5,20,0
2023-11-05 22:00:00,Toulouse,1,Le Havre,2,2023,2024,2023,FRA,6,11,5,22,0
2023-11-05 22:00:00,Strasbourg,0,Clermont,0,2023,2024,2023,FRA,6,11,5,22,0
2023-11-05 22:00:00,Nantes,0,Reims,1,2023,2024,2023,FRA,6,11,5,22,0
2023-11-06 00:05:00,Monaco,2,Brest,0,2023,2024,2023,FRA,0,11,6,0,5
2023-11-06 03:45:00,Nice,2,Rennes,0,2023,2024,2023,FRA,0,11,6,3,45
