time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2020-10-25 02:45:00,Lazio,2,Bologna,1,2020,2021,2020,ITA,6,10,25,2,45
2020-10-25 19:30:00,Cagliari,4,Crotone,2,2020,2021,2020,ITA,6,10,25,19,30
2020-10-25 22:00:00,Parma,2,Spezia,2,2020,2021,2020,ITA,6,10,25,22,0
2020-10-25 22:00:00,Benevento,1,Napoli,2,2020,2021,2020,ITA,6,10,25,22,0
2020-10-26 01:00:00,Fiorentina,3,Udinese,2,2020,2021,2020,ITA,0,10,26,1,0
2020-10-26 03:45:00,Juventus,1,Verona,1,2020,2021,2020,ITA,0,10,26,3,45
2020-10-27 03:45:00,AC Milan,3,AS Roma,3,2020,2021,2020,ITA,1,10,27,3,45
2020-10-31 22:00:00,Crotone,1,Atalanta,2,2020,2021,2020,ITA,5,10,31,22,0
2020-11-01 01:00:00,Inter,2,Parma,2,2020,2021,2020,ITA,6,11,1,1,0
2020-11-01 03:45:00,Bologna,3,Cagliari,2,2020,2021,2020,ITA,6,11,1,3,45
2020-11-01 19:30:00,Udinese,1,AC Milan,2,2020,2021,2020,ITA,6,11,1,19,30
2020-11-01 22:00:00,Spezia,1,Juventus,4,2020,2021,2020,ITA,6,11,1,22,0
2020-11-01 22:00:00,Torino,3,Lazio,4,2020,2021,2020,ITA,6,11,1,22,0
2020-11-02 01:00:00,AS Roma,2,Fiorentina,0,2020,2021,2020,ITA,0,11,2,1,0
2020-11-02 01:00:00,Napoli,0,Sassuolo,2,2020,2021,2020,ITA,0,11,2,1,0
2020-11-02 03:45:00,Sampdoria,1,Genoa,1,2020,2021,2020,ITA,0,11,2,3,45
2020-11-03 03:45:00,Verona,3,Benevento,1,2020,2021,2020,ITA,1,11,3,3,45
2020-11-05 00:00:00,Genoa,1,Torino,2,2020,2021,2020,ITA,3,11,5,0,0
2020-11-07 03:45:00,Sassuolo,0,Udinese,0,2020,2021,2020,ITA,5,11,7,3,45
2020-11-07 22:00:00,Cagliari,2,Sampdoria,0,2020,2021,2020,ITA,5,11,7,22,0
2020-11-08 01:00:00,Benevento,0,Spezia,3,2020,2021,2020,ITA,6,11,8,1,0
2020-11-08 03:45:00,Parma,0,Fiorentina,0,2020,2021,2020,ITA,6,11,8,3,45
2020-11-08 19:30:00,Lazio,1,Juventus,1,2020,2021,2020,ITA,6,11,8,19,30
2020-11-08 22:00:00,Genoa,1,AS Roma,3,2020,2021,2020,ITA,6,11,8,22,0
2020-11-08 22:00:00,Atalanta,1,Inter,1,2020,2021,2020,ITA,6,11,8,22,0
2020-11-08 22:00:00,Torino,0,Crotone,0,2020,2021,2020,ITA,6,11,8,22,0
2020-11-09 01:00:00,Bologna,0,Napoli,1,2020,2021,2020,ITA,0,11,9,1,0
