time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,weekday,month,day,hour,minute
2023-08-12 01:30:00,Almeria,0,Rayo Vallecano,2,2023,2024,2023,5,8,12,1,30
2023-08-12 04:00:00,Sevilla,1,Valencia,2,2023,2024,2023,5,8,12,4,0
2023-08-12 23:00:00,Real Sociedad,1,Girona,1,2023,2024,2023,5,8,12,23,0
2023-08-13 01:30:00,Las Palmas,1,Mallorca,1,2023,2024,2023,6,8,13,1,30
2023-08-13 03:30:00,Ath Bilbao,0,Real Madrid,2,2023,2024,2023,6,8,13,3,30
2023-08-13 23:00:00,Celta Vigo,0,Osasuna,2,2023,2024,2023,6,8,13,23,0
2023-08-14 01:30:00,Villarreal,1,Betis,2,2023,2024,2023,0,8,14,1,30
2023-08-14 03:30:00,Getafe,0,Barcelona,0,2023,2024,2023,0,8,14,3,30
2023-08-15 01:30:00,Cadiz CF,1,Alaves,0,2023,2024,2023,1,8,15,1,30
2023-08-15 03:30:00,Atl. Madrid,3,Granada CF,1,2023,2024,2023,1,8,15,3,30
2023-08-19 01:30:00,Mallorca,0,Villarreal,1,2023,2024,2023,5,8,19,1,30
2023-08-19 03:30:00,Valencia,1,Las Palmas,0,2023,2024,2023,5,8,19,3,30
2023-08-19 23:00:00,Real Sociedad,1,Celta Vigo,1,2023,2024,2023,5,8,19,23,0
2023-08-20 01:30:00,Almeria,1,Real Madrid,3,2023,2024,2023,6,8,20,1,30
2023-08-20 03:30:00,Osasuna,0,Ath Bilbao,2,2023,2024,2023,6,8,20,3,30
2023-08-21 01:00:00,Girona,3,Getafe,0,2023,2024,2023,0,8,21,1,0
2023-08-21 01:30:00,Barcelona,2,Cadiz CF,0,2023,2024,2023,0,8,21,1,30
2023-08-21 03:30:00,Betis,0,Atl. Madrid,0,2023,2024,2023,0,8,21,3,30
2023-08-22 01:00:00,Alaves,4,Sevilla,3,2023,2024,2023,1,8,22,1,0
2023-08-22 03:30:00,Granada CF,0,Rayo Vallecano,2,2023,2024,2023,1,8,22,3,30
2023-08-26 01:30:00,Las Palmas,0,Real Sociedad,0,2023,2024,2023,5,8,26,1,30
2023-08-26 03:30:00,Celta Vigo,0,Real Madrid,1,2023,2024,2023,5,8,26,3,30
2023-08-27 01:00:00,Cadiz CF,1,Almeria,1,2023,2024,2023,6,8,27,1,0
2023-08-27 01:30:00,Granada CF,3,Mallorca,2,2023,2024,2023,6,8,27,1,30
2023-08-27 03:30:00,Sevilla,1,Girona,2,2023,2024,2023,6,8,27,3,30
2023-08-27 23:30:00,Villarreal,3,Barcelona,4,2023,2024,2023,6,8,27,23,30
2023-08-28 01:30:00,Valencia,1,Osasuna,2,2023,2024,2023,0,8,28,1,30
2023-08-28 03:30:00,Ath Bilbao,4,Betis,2,2023,2024,2023,0,8,28,3,30
2023-08-29 01:30:00,Getafe,1,Alaves,0,2023,2024,2023,1,8,29,1,30
2023-08-29 03:30:00,Rayo Vallecano,0,Atl. Madrid,7,2023,2024,2023,1,8,29,3,30
2023-09-02 01:30:00,Cadiz CF,3,Villarreal,1,2023,2024,2023,5,9,2,1,30
2023-09-02 04:00:00,Almeria,2,Celta Vigo,3,2023,2024,2023,5,9,2,4,0
2023-09-02 20:00:00,Real Sociedad,5,Granada CF,3,2023,2024,2023,5,9,2,20,0
2023-09-02 22:15:00,Real Madrid,2,Getafe,1,2023,2024,2023,5,9,2,22,15
2023-09-03 00:30:00,Alaves,1,Valencia,0,2023,2024,2023,6,9,3,0,30
2023-09-03 03:00:00,Betis,1,Rayo Vallecano,0,2023,2024,2023,6,9,3,3,0
2023-09-03 20:00:00,Girona,1,Las Palmas,0,2023,2024,2023,6,9,3,20,0
2023-09-03 22:15:00,Mallorca,0,Ath Bilbao,0,2023,2024,2023,6,9,3,22,15
2023-09-04 03:00:00,Osasuna,1,Barcelona,2,2023,2024,2023,0,9,4,3,0
2023-09-16 03:00:00,Rayo Vallecano,2,Alaves,0,2023,2024,2023,5,9,16,3,0
2023-09-16 20:00:00,Ath Bilbao,3,Cadiz CF,0,2023,2024,2023,5,9,16,20,0
2023-09-16 22:15:00,Valencia,3,Atl. Madrid,0,2023,2024,2023,5,9,16,22,15
2023-09-17 00:30:00,Celta Vigo,0,Mallorca,1,2023,2024,2023,6,9,17,0,30
2023-09-17 03:00:00,Barcelona,5,Betis,0,2023,2024,2023,6,9,17,3,0
2023-09-17 20:00:00,Getafe,3,Osasuna,2,2023,2024,2023,6,9,17,20,0
2023-09-17 22:15:00,Villarreal,2,Almeria,1,2023,2024,2023,6,9,17,22,15
2023-09-18 00:30:00,Sevilla,1,Las Palmas,0,2023,2024,2023,0,9,18,0,30
2023-09-18 03:00:00,Real Madrid,2,Real Sociedad,1,2023,2024,2023,0,9,18,3,0
2023-09-19 03:00:00,Granada CF,2,Girona,4,2023,2024,2023,1,9,19,3,0
2023-09-23 03:00:00,Alaves,0,Ath Bilbao,2,2023,2024,2023,5,9,23,3,0
2023-09-23 20:00:00,Girona,5,Mallorca,3,2023,2024,2023,5,9,23,20,0
2023-09-23 22:15:00,Osasuna,0,Sevilla,0,2023,2024,2023,5,9,23,22,15
2023-09-24 00:30:00,Barcelona,3,Celta Vigo,2,2023,2024,2023,6,9,24,0,30
2023-09-24 03:00:00,Almeria,2,Valencia,2,2023,2024,2023,6,9,24,3,0
2023-09-24 20:00:00,Real Sociedad,4,Getafe,3,2023,2024,2023,6,9,24,20,0
2023-09-24 22:15:00,Rayo Vallecano,1,Villarreal,1,2023,2024,2023,6,9,24,22,15
2023-09-25 00:30:00,Las Palmas,1,Granada CF,0,2023,2024,2023,0,9,25,0,30
2023-09-25 00:30:00,Betis,1,Cadiz CF,1,2023,2024,2023,0,9,25,0,30
2023-09-25 03:00:00,Atl. Madrid,3,Real Madrid,1,2023,2024,2023,0,9,25,3,0
2023-09-27 01:00:00,Sevilla,5,Almeria,1,2023,2024,2023,2,9,27,1,0
2023-09-27 03:30:00,Mallorca,2,Barcelona,2,2023,2024,2023,2,9,27,3,30
2023-09-28 01:00:00,Ath Bilbao,2,Getafe,2,2023,2024,2023,3,9,28,1,0
2023-09-28 01:00:00,Villarreal,1,Girona,2,2023,2024,2023,3,9,28,1,0
2023-09-28 01:00:00,Real Madrid,2,Las Palmas,0,2023,2024,2023,3,9,28,1,0
2023-09-28 03:30:00,Valencia,0,Real Sociedad,1,2023,2024,2023,3,9,28,3,30
2023-09-28 03:30:00,Cadiz CF,0,Rayo Vallecano,0,2023,2024,2023,3,9,28,3,30
2023-09-29 01:00:00,Celta Vigo,1,Alaves,1,2023,2024,2023,4,9,29,1,0
2023-09-29 01:00:00,Granada CF,1,Betis,1,2023,2024,2023,4,9,29,1,0
2023-09-29 03:30:00,Osasuna,0,Atl. Madrid,2,2023,2024,2023,4,9,29,3,30
2023-09-30 03:00:00,Barcelona,1,Sevilla,0,2023,2024,2023,5,9,30,3,0
2023-09-30 20:00:00,Getafe,0,Villarreal,0,2023,2024,2023,5,9,30,20,0
2023-09-30 22:15:00,Rayo Vallecano,2,Mallorca,2,2023,2024,2023,5,9,30,22,15
2023-10-01 00:30:00,Girona,0,Real Madrid,3,2023,2024,2023,6,10,1,0,30
2023-10-01 03:00:00,Real Sociedad,3,Ath Bilbao,0,2023,2024,2023,6,10,1,3,0
2023-10-01 20:00:00,Almeria,3,Granada CF,3,2023,2024,2023,6,10,1,20,0
2023-10-01 22:15:00,Alaves,0,Osasuna,2,2023,2024,2023,6,10,1,22,15
2023-10-02 03:00:00,Betis,3,Valencia,0,2023,2024,2023,0,10,2,3,0
2023-10-02 03:00:00,Atl. Madrid,3,Cadiz CF,2,2023,2024,2023,0,10,2,3,0
2023-10-03 03:00:00,Las Palmas,2,Celta Vigo,1,2023,2024,2023,1,10,3,3,0
2023-10-07 03:00:00,Ath Bilbao,3,Almeria,0,2023,2024,2023,5,10,7,3,0
2023-10-07 20:00:00,Cadiz CF,0,Girona,1,2023,2024,2023,5,10,7,20,0
2023-10-07 22:15:00,Real Madrid,4,Osasuna,0,2023,2024,2023,5,10,7,22,15
2023-10-08 00:30:00,Mallorca,1,Valencia,1,2023,2024,2023,6,10,8,0,30
2023-10-08 03:00:00,Sevilla,2,Rayo Vallecano,2,2023,2024,2023,6,10,8,3,0
2023-10-08 20:00:00,Villarreal,1,Las Palmas,2,2023,2024,2023,6,10,8,20,0
2023-10-08 22:15:00,Atl. Madrid,2,Real Sociedad,1,2023,2024,2023,6,10,8,22,15
2023-10-09 00:30:00,Celta Vigo,2,Getafe,2,2023,2024,2023,0,10,9,0,30
2023-10-09 00:30:00,Alaves,1,Betis,1,2023,2024,2023,0,10,9,0,30
2023-10-09 03:00:00,Granada CF,2,Barcelona,2,2023,2024,2023,0,10,9,3,0
2023-10-21 03:00:00,Osasuna,2,Granada CF,0,2023,2024,2023,5,10,21,3,0
2023-10-21 20:00:00,Real Sociedad,1,Mallorca,0,2023,2024,2023,5,10,21,20,0
2023-10-21 22:15:00,Getafe,1,Betis,1,2023,2024,2023,5,10,21,22,15
2023-10-22 00:30:00,Sevilla,1,Real Madrid,1,2023,2024,2023,6,10,22,0,30
2023-10-22 03:00:00,Celta Vigo,0,Atl. Madrid,3,2023,2024,2023,6,10,22,3,0
2023-10-22 20:00:00,Las Palmas,0,Rayo Vallecano,1,2023,2024,2023,6,10,22,20,0
2023-10-22 22:15:00,Girona,5,Almeria,2,2023,2024,2023,6,10,22,22,15
2023-10-23 00:30:00,Villarreal,1,Alaves,1,2023,2024,2023,0,10,23,0,30
2023-10-23 03:00:00,Barcelona,1,Ath Bilbao,0,2023,2024,2023,0,10,23,3,0
2023-10-24 03:00:00,Valencia,2,Cadiz CF,0,2023,2024,2023,1,10,24,3,0
2023-10-28 03:00:00,Girona,1,Celta Vigo,0,2023,2024,2023,5,10,28,3,0
2023-10-28 20:00:00,Almeria,1,Las Palmas,2,2023,2024,2023,5,10,28,20,0
2023-10-28 22:15:00,Barcelona,1,Real Madrid,2,2023,2024,2023,5,10,28,22,15
2023-10-29 00:30:00,Mallorca,0,Getafe,0,2023,2024,2023,6,10,29,0,30
2023-10-29 03:00:00,Cadiz CF,2,Sevilla,2,2023,2024,2023,6,10,29,3,0
2023-10-29 21:00:00,Betis,2,Osasuna,1,2023,2024,2023,6,10,29,21,0
2023-10-29 23:15:00,Rayo Vallecano,2,Real Sociedad,2,2023,2024,2023,6,10,29,23,15
2023-10-30 01:30:00,Ath Bilbao,2,Valencia,2,2023,2024,2023,0,10,30,1,30
2023-10-30 04:00:00,Atl. Madrid,2,Alaves,1,2023,2024,2023,0,10,30,4,0
