,Accuracy,Precision,Recall,F1 Score
RandomForestClassifier,0.4750173490631506,0.4651722133848868,0.4750173490631506,0.4691437673337992
LogisticRegression,0.5024288688410826,0.517026112386633,0.5024288688410826,0.508562468947365
SVC,0.49826509368494104,0.521564101835813,0.49826509368494104,0.5069503818780905
DecisionTreeClassifier,0.4226231783483692,0.4297667041199092,0.4226231783483692,0.42580107249568133
KNeighborsClassifier,0.4437890353920888,0.46067603024891174,0.4437890353920888,0.44793817457673707
GaussianNB,0.4823039555863983,0.49261242292211843,0.4823039555863983,0.48677216313562677
GradientBoostingClassifier,0.5003469812630118,0.5142225289149429,0.5003469812630118,0.5063100689540908
ExtraTreesClassifier,0.4902845246356697,0.4707347637346044,0.4902845246356697,0.47755750031672634
